layer,component,verb_up,frequency,classifier_pred,up_probability,logit
5,decoder,set up,103842740,1,0.9986,6.5974
5,decoder,set up,103842740,1,0.9857,4.2297
5,decoder,set up,103842740,1,0.9853,4.2019
5,decoder,set up,103842740,1,0.9875,4.3719
5,decoder,set up,103842740,1,0.9991,7.0441
5,decoder,set up,103842740,1,0.9991,7.0441
5,decoder,set up,103842740,1,0.9999,9.6122
5,decoder,set up,103842740,1,0.9987,6.6648
5,decoder,set up,103842740,1,0.9953,5.3458
5,decoder,set up,103842740,1,0.9901,4.6071
5,decoder,set up,103842740,1,0.9876,4.3783
5,decoder,set up,103842740,1,0.9988,6.7249
5,decoder,set up,103842740,1,0.9999,9.2625
5,decoder,set up,103842740,1,0.9839,4.1118
5,decoder,set up,103842740,1,0.9999,9.0562
5,decoder,set up,103842740,1,0.9925,4.8893
5,decoder,set up,103842740,1,0.996,5.515
5,decoder,set up,103842740,1,0.9927,4.9187
5,decoder,set up,103842740,1,0.9949,5.2664
5,decoder,set up,103842740,1,0.9986,6.5871
5,decoder,come up,46625776,1,1.0,10.6492
5,decoder,come up,46625776,1,1.0,10.7009
5,decoder,come up,46625776,1,0.9999,9.4771
5,decoder,come up,46625776,1,0.9988,6.7335
5,decoder,come up,46625776,1,1.0,11.156
5,decoder,come up,46625776,1,0.9998,8.6198
5,decoder,come up,46625776,1,0.9999,9.3298
5,decoder,come up,46625776,1,0.9995,7.5971
5,decoder,come up,46625776,1,0.9995,7.5244
5,decoder,come up,46625776,1,1.0,10.778
5,decoder,come up,46625776,1,0.9996,7.8364
5,decoder,come up,46625776,1,0.9999,9.8691
5,decoder,come up,46625776,1,0.9994,7.5029
5,decoder,come up,46625776,1,0.9998,8.3232
5,decoder,come up,46625776,1,1.0,10.8585
5,decoder,come up,46625776,1,0.9999,9.7811
5,decoder,come up,46625776,1,1.0,10.1999
5,decoder,come up,46625776,1,0.9997,8.0043
5,decoder,come up,46625776,1,0.9997,8.0043
5,decoder,come up,46625776,1,0.9997,8.0043
5,decoder,up,0,1,0.9986,6.5427
5,decoder,up,0,1,0.9986,6.5427
5,decoder,up,0,1,0.9998,8.4102
5,decoder,up,0,1,0.9997,8.2843
5,decoder,up,0,1,0.9999,8.8886
5,decoder,up,0,1,0.9999,9.7585
5,decoder,up,0,1,1.0,10.7029
5,decoder,up,0,1,0.9965,5.6543
5,decoder,up,0,1,0.9997,8.1644
5,decoder,up,0,1,0.9999,9.3119
5,decoder,up,0,1,0.999,6.8602
5,decoder,up,0,1,0.9999,9.3602
5,decoder,up,0,1,0.9999,9.7865
5,decoder,up,0,1,0.9974,5.9687
5,decoder,up,0,1,1.0,11.4104
5,decoder,up,0,1,1.0,10.3598
5,decoder,up,0,1,0.9994,7.386
5,decoder,up,0,1,0.9999,9.8728
5,decoder,up,0,1,0.9999,9.8214
5,decoder,up,0,1,0.9994,7.464
5,decoder,end up,70924084,1,0.9999,8.9111
5,decoder,end up,70924084,1,0.9999,9.7625
5,decoder,end up,70924084,1,0.9999,9.3502
5,decoder,end up,70924084,1,0.9962,5.575
5,decoder,end up,70924084,1,0.9997,7.9621
5,decoder,end up,70924084,1,0.9987,6.6716
5,decoder,end up,70924084,1,0.9973,5.9235
5,decoder,end up,70924084,1,0.9988,6.7454
5,decoder,end up,70924084,1,0.9991,7.0539
5,decoder,end up,70924084,1,0.9994,7.4748
5,decoder,end up,70924084,1,0.9969,5.7883
5,decoder,end up,70924084,1,0.9985,6.5262
5,decoder,end up,70924084,1,0.9999,9.0954
5,decoder,end up,70924084,1,0.9999,9.0954
5,decoder,end up,70924084,1,0.9954,5.3675
5,decoder,end up,70924084,1,0.9952,5.3439
5,decoder,end up,70924084,1,0.9952,5.3439
5,decoder,end up,70924084,1,0.9996,7.8234
5,decoder,end up,70924084,1,0.9998,8.32
5,decoder,end up,70924084,1,0.9998,8.32
5,decoder,pick up,47130414,1,0.9994,7.3985
5,decoder,pick up,47130414,1,0.9932,4.9778
5,decoder,pick up,47130414,1,0.9998,8.4709
5,decoder,pick up,47130414,1,0.9993,7.2822
5,decoder,pick up,47130414,1,0.9889,4.4869
5,decoder,pick up,47130414,1,0.9924,4.8742
5,decoder,pick up,47130414,1,0.9748,3.6556
5,decoder,pick up,47130414,1,0.972,3.5459
5,decoder,pick up,47130414,1,0.9978,6.0996
5,decoder,pick up,47130414,1,0.9953,5.3483
5,decoder,pick up,47130414,1,0.9997,8.1974
5,decoder,pick up,47130414,1,0.9985,6.5061
5,decoder,pick up,47130414,1,0.9936,5.0509
5,decoder,pick up,47130414,1,0.9988,6.6928
5,decoder,pick up,47130414,1,0.9888,4.4788
5,decoder,pick up,47130414,1,0.9935,5.0234
5,decoder,pick up,47130414,1,0.9986,6.5529
5,decoder,pick up,47130414,1,0.9998,8.4073
5,decoder,pick up,47130414,1,0.9691,3.4447
5,decoder,pick up,47130414,1,0.9976,6.0267
5,decoder,came up,23263138,1,0.9999,9.8454
5,decoder,came up,23263138,1,0.9998,8.3427
5,decoder,came up,23263138,1,0.9999,8.8433
5,decoder,came up,23263138,1,0.9997,8.041
5,decoder,came up,23263138,1,0.9996,7.9348
5,decoder,came up,23263138,1,0.9999,9.7182
5,decoder,came up,23263138,1,1.0,10.0825
5,decoder,came up,23263138,1,1.0,9.9973
5,decoder,came up,23263138,1,1.0,10.9473
5,decoder,came up,23263138,1,1.0,10.0252
5,decoder,came up,23263138,1,0.9999,8.9512
5,decoder,came up,23263138,1,0.999,6.9368
5,decoder,came up,23263138,1,0.9991,6.9686
5,decoder,came up,23263138,1,0.9999,9.3145
5,decoder,came up,23263138,1,0.9976,6.0408
5,decoder,came up,23263138,1,0.9999,9.3892
5,decoder,came up,23263138,1,0.9999,9.0986
5,decoder,came up,23263138,1,1.0,11.1204
5,decoder,came up,23263138,1,0.9999,9.5043
5,decoder,came up,23263138,1,0.9993,7.2795
5,decoder,ended up,49589762,1,0.9998,8.4763
5,decoder,ended up,49589762,1,0.9999,9.1984
5,decoder,ended up,49589762,1,0.9928,4.924
5,decoder,ended up,49589762,1,0.9958,5.4715
5,decoder,ended up,49589762,1,0.9958,5.4715
5,decoder,ended up,49589762,1,0.9958,5.4715
5,decoder,ended up,49589762,1,0.9998,8.7669
5,decoder,ended up,49589762,1,0.9931,4.9698
5,decoder,ended up,49589762,1,0.9999,9.5012
5,decoder,ended up,49589762,1,0.9874,4.3612
5,decoder,ended up,49589762,1,0.9939,5.0996
5,decoder,ended up,49589762,1,0.9947,5.2314
5,decoder,ended up,49589762,1,0.9962,5.5582
5,decoder,ended up,49589762,1,0.9999,9.2391
5,decoder,ended up,49589762,1,0.9966,5.6811
5,decoder,ended up,49589762,1,0.9883,4.4325
5,decoder,ended up,49589762,1,0.9989,6.7962
5,decoder,ended up,49589762,1,0.9999,9.0771
5,decoder,ended up,49589762,1,0.9975,5.9745
5,decoder,ended up,49589762,1,0.9933,4.9931
5,decoder,grew up,29647067,1,0.9991,6.9845
5,decoder,grew up,29647067,1,0.9995,7.5697
5,decoder,grew up,29647067,1,0.9984,6.4364
5,decoder,grew up,29647067,1,0.9971,5.8273
5,decoder,grew up,29647067,1,0.9984,6.4583
5,decoder,grew up,29647067,1,0.9957,5.4401
5,decoder,grew up,29647067,1,0.9999,9.5306
5,decoder,grew up,29647067,1,0.9999,9.5306
5,decoder,grew up,29647067,1,0.9999,9.5306
5,decoder,grew up,29647067,1,0.9999,9.5306
5,decoder,grew up,29647067,1,0.9999,8.9247
5,decoder,grew up,29647067,1,0.9992,7.1057
5,decoder,grew up,29647067,1,0.9998,8.6422
5,decoder,grew up,29647067,1,0.9947,5.2298
5,decoder,grew up,29647067,1,0.9991,7.0404
5,decoder,grew up,29647067,1,0.9998,8.6847
5,decoder,grew up,29647067,1,0.9988,6.7154
5,decoder,grew up,29647067,1,0.9989,6.7733
5,decoder,grew up,29647067,1,0.9994,7.4634
5,decoder,grew up,29647067,1,0.9993,7.2351
5,decoder,coming up,19257169,1,0.9986,6.5427
5,decoder,coming up,19257169,1,0.9986,6.5427
5,decoder,coming up,19257169,1,0.9992,7.1148
5,decoder,coming up,19257169,1,0.9985,6.4879
5,decoder,coming up,19257169,1,0.9998,8.6461
5,decoder,coming up,19257169,1,0.9999,9.5689
5,decoder,coming up,19257169,1,0.9999,8.8771
5,decoder,coming up,19257169,1,0.9998,8.4363
5,decoder,coming up,19257169,1,1.0,9.9193
5,decoder,coming up,19257169,1,0.9999,9.8741
5,decoder,coming up,19257169,1,0.9995,7.5696
5,decoder,coming up,19257169,1,0.9995,7.5106
5,decoder,coming up,19257169,1,1.0,10.9319
5,decoder,coming up,19257169,1,0.9985,6.5221
5,decoder,coming up,19257169,1,0.9999,9.0379
5,decoder,coming up,19257169,1,0.9999,9.2384
5,decoder,coming up,19257169,1,0.9991,7.0247
5,decoder,coming up,19257169,1,0.9993,7.3143
5,decoder,coming up,19257169,1,0.9994,7.3465
5,decoder,coming up,19257169,1,0.9994,7.3465
5,decoder,give up,26969854,1,0.9479,2.9009
5,decoder,give up,26969854,1,0.9965,5.6589
5,decoder,give up,26969854,1,0.9906,4.6533
5,decoder,give up,26969854,1,0.9944,5.174
5,decoder,give up,26969854,1,0.9986,6.5596
5,decoder,give up,26969854,1,0.9921,4.8281
5,decoder,give up,26969854,1,0.9967,5.7011
5,decoder,give up,26969854,1,0.9982,6.3261
5,decoder,give up,26969854,1,0.9996,7.9344
