layer,component,verb_up,frequency,classifier_pred,up_probability,logit
0,encoder,made up,207,1,0.9987,6.6334
0,encoder,made up,207,1,1.0,14.2652
0,encoder,made up,207,1,0.9994,7.4346
0,encoder,made up,207,1,1.0,11.1909
0,encoder,made up,207,1,0.9302,2.59
0,encoder,made up,207,1,1.0,11.3528
0,encoder,made up,207,1,1.0,16.8669
0,encoder,made up,207,1,0.9993,7.2622
0,encoder,made up,207,0,0.0024,-6.0387
0,encoder,made up,207,1,0.9998,8.5266
0,encoder,made up,207,1,1.0,15.1197
0,encoder,made up,207,1,1.0,13.2489
0,encoder,made up,207,1,1.0,13.9013
0,encoder,made up,207,1,0.5696,0.2801
0,encoder,made up,207,1,1.0,18.7766
0,encoder,made up,207,1,1.0,9.9862
0,encoder,made up,207,1,0.995,5.2905
0,encoder,made up,207,1,0.9998,8.5866
0,encoder,made up,207,1,0.9999,9.7602
0,encoder,made up,207,1,0.9994,7.4068
0,encoder,came up,159,1,1.0,11.7159
0,encoder,came up,159,1,1.0,17.9056
0,encoder,came up,159,1,1.0,16.6375
0,encoder,came up,159,1,0.9999,9.5852
0,encoder,came up,159,1,1.0,10.411
0,encoder,came up,159,1,1.0,14.4683
0,encoder,came up,159,1,0.9991,6.9725
0,encoder,came up,159,1,1.0,11.2281
0,encoder,came up,159,1,1.0,35.3162
0,encoder,came up,159,1,1.0,14.9702
0,encoder,came up,159,1,1.0,10.8122
0,encoder,came up,159,1,1.0,17.4025
0,encoder,came up,159,1,1.0,18.3822
0,encoder,came up,159,1,1.0,10.4451
0,encoder,came up,159,1,1.0,17.1714
0,encoder,came up,159,1,1.0,16.7081
0,encoder,came up,159,1,0.9999,9.827
0,encoder,came up,159,1,0.9999,9.4695
0,encoder,came up,159,1,1.0,17.649
0,encoder,came up,159,1,1.0,14.4244
0,encoder,looked up,140,1,1.0,21.3166
0,encoder,looked up,140,1,1.0,11.8559
0,encoder,looked up,140,1,1.0,10.6862
0,encoder,looked up,140,1,0.9997,8.072
0,encoder,looked up,140,1,1.0,11.4234
0,encoder,looked up,140,1,1.0,16.5218
0,encoder,looked up,140,1,1.0,15.7377
0,encoder,looked up,140,1,1.0,14.311
0,encoder,looked up,140,1,0.9998,8.7323
0,encoder,looked up,140,1,0.9993,7.2879
0,encoder,looked up,140,1,0.9998,8.6614
0,encoder,looked up,140,1,1.0,11.1086
0,encoder,looked up,140,1,1.0,19.1056
0,encoder,looked up,140,1,1.0,13.6454
0,encoder,looked up,140,1,1.0,18.0856
0,encoder,looked up,140,1,1.0,17.7655
0,encoder,looked up,140,1,1.0,13.8556
0,encoder,looked up,140,1,1.0,17.1264
0,encoder,looked up,140,1,1.0,12.1883
0,encoder,looked up,140,1,1.0,14.6335
0,encoder,got up,121,1,1.0,13.4706
0,encoder,got up,121,1,1.0,25.1127
0,encoder,got up,121,1,1.0,12.0035
0,encoder,got up,121,1,1.0,10.4362
0,encoder,got up,121,1,1.0,23.2268
0,encoder,got up,121,1,1.0,12.7808
0,encoder,got up,121,1,1.0,14.9443
0,encoder,got up,121,1,1.0,16.0341
0,encoder,got up,121,1,1.0,18.4281
0,encoder,got up,121,1,1.0,21.8002
0,encoder,got up,121,1,1.0,15.9704
0,encoder,got up,121,1,1.0,13.8267
0,encoder,got up,121,1,0.9909,4.6941
0,encoder,got up,121,1,1.0,20.101
0,encoder,got up,121,1,1.0,11.0865
0,encoder,got up,121,1,1.0,15.4236
0,encoder,got up,121,1,1.0,10.0314
0,encoder,got up,121,1,0.9858,4.2415
0,encoder,got up,121,1,0.9989,6.8227
0,encoder,got up,121,1,1.0,10.5302
0,encoder,went up,118,1,1.0,17.854
0,encoder,went up,118,1,1.0,21.0266
0,encoder,went up,118,1,1.0,16.9825
0,encoder,went up,118,1,1.0,14.6595
0,encoder,went up,118,1,0.9897,4.5619
0,encoder,went up,118,1,1.0,16.7421
0,encoder,went up,118,1,1.0,14.7445
0,encoder,went up,118,1,1.0,10.6733
0,encoder,went up,118,1,1.0,20.916
0,encoder,went up,118,1,0.7635,1.1719
0,encoder,went up,118,1,0.9999,9.5602
0,encoder,went up,118,1,0.8289,1.5775
0,encoder,went up,118,1,1.0,11.2382
0,encoder,went up,118,1,1.0,21.8651
0,encoder,went up,118,1,0.9996,7.852
0,encoder,went up,118,1,1.0,20.8636
0,encoder,went up,118,1,1.0,15.5452
0,encoder,went up,118,1,1.0,25.1917
0,encoder,went up,118,1,1.0,11.976
0,encoder,went up,118,1,1.0,17.9472
0,encoder,took up,108,1,1.0,15.2476
0,encoder,took up,108,0,0.0699,-2.589
0,encoder,took up,108,0,0.3645,-0.5558
0,encoder,took up,108,0,0.0001,-9.4522
0,encoder,took up,108,1,1.0,14.4925
0,encoder,took up,108,1,0.9992,7.1349
0,encoder,took up,108,1,1.0,12.2694
0,encoder,took up,108,1,1.0,20.6235
0,encoder,took up,108,1,1.0,13.3078
0,encoder,took up,108,1,1.0,10.0396
0,encoder,took up,108,1,1.0,14.5231
0,encoder,took up,108,1,1.0,23.0226
0,encoder,took up,108,1,1.0,15.73
0,encoder,took up,108,1,1.0,19.9023
0,encoder,took up,108,1,1.0,10.6496
0,encoder,took up,108,1,1.0,14.1812
0,encoder,took up,108,1,1.0,17.5832
0,encoder,took up,108,1,1.0,15.867
0,encoder,took up,108,1,0.9998,8.4066
0,encoder,took up,108,1,0.9175,2.4088
0,encoder,give up,106,1,0.9998,8.4226
0,encoder,give up,106,1,1.0,10.0407
0,encoder,give up,106,1,0.9996,7.9244
0,encoder,give up,106,1,0.9953,5.3602
0,encoder,give up,106,1,1.0,26.7555
0,encoder,give up,106,1,1.0,17.0303
0,encoder,give up,106,1,1.0,19.0095
0,encoder,give up,106,1,0.9997,7.9591
0,encoder,give up,106,1,1.0,17.8493
0,encoder,give up,106,1,1.0,11.2991
0,encoder,give up,106,1,1.0,15.9458
0,encoder,give up,106,1,1.0,23.1942
0,encoder,give up,106,1,0.9995,7.6326
0,encoder,give up,106,1,1.0,24.2322
0,encoder,give up,106,1,1.0,11.4406
0,encoder,give up,106,1,1.0,9.9868
0,encoder,give up,106,1,0.9971,5.8558
0,encoder,give up,106,1,1.0,14.7529
0,encoder,give up,106,1,1.0,20.0388
0,encoder,give up,106,1,1.0,16.6513
0,encoder,make up,106,1,0.9997,8.1702
0,encoder,make up,106,1,1.0,13.8175
0,encoder,make up,106,1,1.0,13.8354
0,encoder,make up,106,0,0.0708,-2.5744
0,encoder,make up,106,1,1.0,16.4343
0,encoder,make up,106,1,1.0,19.0308
0,encoder,make up,106,1,0.9992,7.1899
0,encoder,make up,106,1,1.0,11.5742
0,encoder,make up,106,1,1.0,17.5878
0,encoder,make up,106,1,1.0,22.3947
0,encoder,make up,106,1,1.0,10.4999
0,encoder,make up,106,1,0.9993,7.2237
0,encoder,make up,106,1,1.0,15.6568
0,encoder,make up,106,1,1.0,10.0354
