layer,component,verb_up,frequency,classifier_pred,up_probability,logit
3,encoder,come up,46625776,1,1.0,14.1148
3,encoder,come up,46625776,1,0.9884,4.4423
3,encoder,come up,46625776,1,1.0,11.9278
3,encoder,come up,46625776,1,1.0,12.5581
3,encoder,come up,46625776,1,0.573,0.2939
3,encoder,come up,46625776,1,1.0,12.9801
3,encoder,come up,46625776,0,0.0087,-4.7392
3,encoder,come up,46625776,1,0.9995,7.7024
3,encoder,come up,46625776,1,1.0,10.1152
3,encoder,come up,46625776,1,0.877,1.9645
3,encoder,come up,46625776,1,1.0,10.5454
3,encoder,come up,46625776,1,0.9347,2.6615
3,encoder,come up,46625776,1,0.9917,4.7833
3,encoder,come up,46625776,1,0.9965,5.6525
3,encoder,come up,46625776,1,0.9992,7.0707
3,encoder,come up,46625776,1,0.9991,7.0284
3,encoder,come up,46625776,1,0.9973,5.9083
3,encoder,come up,46625776,1,1.0,15.9809
3,encoder,come up,46625776,1,0.9998,8.6046
3,encoder,come up,46625776,1,0.9984,6.4367
3,encoder,set up,103842740,1,1.0,12.0164
3,encoder,set up,103842740,1,1.0,13.691
3,encoder,set up,103842740,1,1.0,19.5031
3,encoder,set up,103842740,1,1.0,15.8619
3,encoder,set up,103842740,1,0.9434,2.8136
3,encoder,set up,103842740,1,0.9926,4.8923
3,encoder,set up,103842740,1,0.9999,9.1895
3,encoder,set up,103842740,1,0.9998,8.4355
3,encoder,set up,103842740,1,1.0,15.0731
3,encoder,set up,103842740,1,1.0,14.8171
3,encoder,set up,103842740,1,0.9995,7.5549
3,encoder,set up,103842740,1,0.9988,6.714
3,encoder,set up,103842740,1,0.9995,7.6858
3,encoder,set up,103842740,0,0.0557,-2.8305
3,encoder,set up,103842740,1,0.9995,7.6315
3,encoder,set up,103842740,1,1.0,11.4399
3,encoder,set up,103842740,1,1.0,14.0283
3,encoder,set up,103842740,1,0.9995,7.5288
3,encoder,set up,103842740,1,0.8542,1.7676
3,encoder,set up,103842740,1,0.9981,6.2684
3,encoder,up,0,1,0.9519,2.9843
3,encoder,up,0,1,1.0,13.2466
3,encoder,up,0,1,1.0,14.0879
3,encoder,up,0,1,1.0,10.3856
3,encoder,up,0,1,1.0,14.7372
3,encoder,up,0,1,1.0,10.0218
3,encoder,up,0,1,0.9709,3.5078
3,encoder,up,0,1,0.9994,7.4986
3,encoder,up,0,1,1.0,10.1992
3,encoder,up,0,1,1.0,17.4771
3,encoder,up,0,0,0.3101,-0.7997
3,encoder,up,0,1,0.998,6.1967
3,encoder,up,0,1,1.0,13.1711
3,encoder,up,0,1,1.0,14.5077
3,encoder,up,0,1,0.9996,7.9505
3,encoder,up,0,1,1.0,14.4881
3,encoder,up,0,1,0.9793,3.8575
3,encoder,up,0,1,0.9999,8.9696
3,encoder,up,0,1,1.0,12.3799
3,encoder,up,0,1,1.0,16.6733
3,encoder,end up,70924084,1,0.9949,5.2655
3,encoder,end up,70924084,1,0.9985,6.4839
3,encoder,end up,70924084,1,0.9985,6.501
3,encoder,end up,70924084,1,0.9996,7.9186
3,encoder,end up,70924084,1,0.9876,4.375
3,encoder,end up,70924084,1,1.0,11.5942
3,encoder,end up,70924084,1,0.9999,9.2789
3,encoder,end up,70924084,1,1.0,16.8793
3,encoder,end up,70924084,1,1.0,15.4829
3,encoder,end up,70924084,1,1.0,14.9882
3,encoder,end up,70924084,1,1.0,10.6082
3,encoder,end up,70924084,1,0.991,4.7026
3,encoder,end up,70924084,1,0.9929,4.9405
3,encoder,end up,70924084,1,1.0,15.6037
3,encoder,end up,70924084,1,0.9982,6.2916
3,encoder,end up,70924084,1,1.0,13.3054
3,encoder,end up,70924084,1,0.9562,3.0828
3,encoder,end up,70924084,1,1.0,10.5611
3,encoder,end up,70924084,1,1.0,10.2546
3,encoder,end up,70924084,1,0.9793,3.8555
3,encoder,came up,23263138,1,0.9133,2.3541
3,encoder,came up,23263138,1,1.0,14.3008
3,encoder,came up,23263138,1,0.9995,7.6027
3,encoder,came up,23263138,1,1.0,13.5901
3,encoder,came up,23263138,1,0.9996,7.8915
3,encoder,came up,23263138,1,1.0,11.486
3,encoder,came up,23263138,1,1.0,11.896
3,encoder,came up,23263138,1,0.9987,6.6655
3,encoder,came up,23263138,1,1.0,18.817
3,encoder,came up,23263138,1,1.0,13.5654
3,encoder,came up,23263138,1,0.9997,8.0055
3,encoder,came up,23263138,1,1.0,15.0143
3,encoder,came up,23263138,1,0.9999,8.9388
3,encoder,came up,23263138,0,0.0051,-5.2705
3,encoder,came up,23263138,1,0.9193,2.4335
3,encoder,came up,23263138,1,0.9999,9.4766
3,encoder,came up,23263138,1,1.0,11.3066
3,encoder,came up,23263138,1,1.0,13.1238
3,encoder,came up,23263138,1,1.0,9.9107
3,encoder,came up,23263138,0,0.4444,-0.2233
3,encoder,ended up,49589762,1,1.0,22.267
3,encoder,ended up,49589762,1,0.9998,8.4735
3,encoder,ended up,49589762,1,1.0,18.3536
3,encoder,ended up,49589762,1,0.9996,7.707
3,encoder,ended up,49589762,1,1.0,12.6288
3,encoder,ended up,49589762,1,0.9982,6.3066
3,encoder,ended up,49589762,1,0.9894,4.5374
3,encoder,ended up,49589762,1,0.9996,7.8985
3,encoder,ended up,49589762,1,0.9999,9.8784
3,encoder,ended up,49589762,1,1.0,13.6473
3,encoder,ended up,49589762,1,1.0,13.4317
3,encoder,ended up,49589762,1,0.998,6.1924
3,encoder,ended up,49589762,1,1.0,15.686
3,encoder,ended up,49589762,1,1.0,9.9485
3,encoder,ended up,49589762,1,1.0,11.906
3,encoder,ended up,49589762,1,0.9996,7.8467
3,encoder,ended up,49589762,1,1.0,14.8459
3,encoder,ended up,49589762,1,0.9397,2.7471
3,encoder,ended up,49589762,1,0.9771,3.7533
3,encoder,ended up,49589762,1,0.9999,9.5506
3,encoder,coming up,19257169,1,1.0,11.8863
3,encoder,coming up,19257169,1,0.7524,1.1115
3,encoder,coming up,19257169,1,1.0,15.1365
3,encoder,coming up,19257169,1,0.9997,8.2554
3,encoder,coming up,19257169,1,0.9999,9.7193
3,encoder,coming up,19257169,1,0.9852,4.1973
3,encoder,coming up,19257169,1,1.0,13.8198
3,encoder,coming up,19257169,1,0.9991,7.0456
3,encoder,coming up,19257169,1,1.0,15.617
3,encoder,coming up,19257169,1,1.0,13.3336
3,encoder,coming up,19257169,1,0.9999,8.8261
3,encoder,coming up,19257169,1,0.9826,4.0344
3,encoder,coming up,19257169,1,0.9883,4.4347
3,encoder,coming up,19257169,1,0.9339,2.6474
3,encoder,coming up,19257169,1,0.9958,5.4764
3,encoder,coming up,19257169,1,0.9999,9.7536
3,encoder,coming up,19257169,1,0.9885,4.4564
3,encoder,coming up,19257169,1,0.9998,8.402
3,encoder,coming up,19257169,1,1.0,15.6984
3,encoder,coming up,19257169,1,0.9899,4.5825
3,encoder,grew up,29647067,0,0.0758,-2.5014
3,encoder,grew up,29647067,1,0.9567,3.0964
3,encoder,grew up,29647067,1,0.5249,0.0997
3,encoder,grew up,29647067,1,1.0,10.9735
3,encoder,grew up,29647067,1,1.0,10.1554
3,encoder,grew up,29647067,1,1.0,11.888
3,encoder,grew up,29647067,1,1.0,14.9996
3,encoder,grew up,29647067,1,0.9898,4.5766
3,encoder,grew up,29647067,1,1.0,10.7201
3,encoder,grew up,29647067,1,0.9064,2.2708
3,encoder,grew up,29647067,1,1.0,14.3623
3,encoder,grew up,29647067,1,0.9962,5.5727
3,encoder,grew up,29647067,1,1.0,17.2697
3,encoder,grew up,29647067,1,1.0,11.9662
3,encoder,grew up,29647067,1,1.0,12.5848
3,encoder,grew up,29647067,1,0.9993,7.2908
3,encoder,grew up,29647067,1,1.0,10.4816
3,encoder,grew up,29647067,1,1.0,10.3875
3,encoder,grew up,29647067,0,0.0144,-4.2274
3,encoder,grew up,29647067,1,0.999,6.9322
3,encoder,pick up,47130414,1,0.9965,5.6374
3,encoder,pick up,47130414,1,1.0,11.49
3,encoder,pick up,47130414,1,1.0,9.9986
3,encoder,pick up,47130414,1,0.9998,8.3753
3,encoder,pick up,47130414,1,0.87,1.9009
3,encoder,pick up,47130414,1,1.0,10.8944
3,encoder,pick up,47130414,1,1.0,14.9145
3,encoder,pick up,47130414,1,1.0,18.8299
3,encoder,pick up,47130414,1,1.0,13.4246
3,encoder,pick up,47130414,1,1.0,12.9281
3,encoder,pick up,47130414,1,1.0,11.2698
3,encoder,pick up,47130414,1,1.0,13.1673
3,encoder,pick up,47130414,1,1.0,12.0867
3,encoder,pick up,47130414,0,0.3109,-0.7959
3,encoder,pick up,47130414,0,0.0116,-4.4469
3,encoder,pick up,47130414,1,0.9994,7.4527
3,encoder,pick up,47130414,1,1.0,12.9705
3,encoder,pick up,47130414,1,0.9971,5.8331
3,encoder,pick up,47130414,1,0.9992,7.1385
3,encoder,pick up,47130414,1,0.9964,5.6294
3,encoder,made up,30311015,1,1.0,10.3401
3,encoder,made up,30311015,1,0.9986,6.5787
3,encoder,made up,30311015,1,0.9999,9.3812
3,encoder,made up,30311015,0,0.3577,-0.5853
3,encoder,made up,30311015,1,1.0,16.4597
3,encoder,made up,30311015,1,0.9229,2.4819
3,encoder,made up,30311015,1,0.9944,5.1839
3,encoder,made up,30311015,1,1.0,13.3691
3,encoder,made up,30311015,1,0.9993,7.1979
3,encoder,made up,30311015,1,0.9999,9.483
3,encoder,made up,30311015,1,1.0,14.0198
3,encoder,made up,30311015,0,0.1579,-1.6743
3,encoder,made up,30311015,1,0.9992,7.1341
3,encoder,made up,30311015,1,0.9992,7.1081
3,encoder,made up,30311015,1,0.9911,4.7113
3,encoder,made up,30311015,1,0.9907,4.6719
3,encoder,made up,30311015,1,1.0,10.232
3,encoder,made up,30311015,1,0.9683,3.4179
3,encoder,made up,30311015,1,0.9672,3.3829
3,encoder,made up,30311015,1,1.0,15.2935
3,encoder,go up,14885945,1,0.9999,8.8995
3,encoder,go up,14885945,1,0.9998,8.6168
3,encoder,go up,14885945,1,0.9998,8.6811
3,encoder,go up,14885945,1,0.9564,3.0891
3,encoder,go up,14885945,1,0.9995,7.6684
3,encoder,go up,14885945,1,0.9999,9.0675
3,encoder,go up,14885945,1,0.9999,9.3704
3,encoder,go up,14885945,1,1.0,10.4298
3,encoder,go up,14885945,1,0.9431,2.8086
3,encoder,go up,14885945,1,1.0,10.3298
3,encoder,go up,14885945,1,0.9998,8.7444
3,encoder,go up,14885945,1,0.9999,9.8258
3,encoder,go up,14885945,1,0.9358,2.6792
3,encoder,go up,14885945,1,1.0,23.1415
3,encoder,go up,14885945,1,0.9967,5.7177
3,encoder,go up,14885945,1,0.9995,7.7029
3,encoder,go up,14885945,1,1.0,15.1612
3,encoder,go up,14885945,1,0.9983,6.3823
3,encoder,go up,14885945,1,1.0,13.572
3,encoder,go up,14885945,1,1.0,11.2507
3,encoder,picked up,35329217,1,1.0,10.5691
3,encoder,picked up,35329217,1,1.0,10.391
3,encoder,picked up,35329217,1,1.0,11.771
3,encoder,picked up,35329217,1,0.9865,4.2911
3,encoder,picked up,35329217,1,1.0,10.1559
3,encoder,picked up,35329217,1,1.0,13.4122
3,encoder,picked up,35329217,1,1.0,12.2241
3,encoder,picked up,35329217,1,1.0,10.5705
3,encoder,picked up,35329217,1,0.9998,8.5174
3,encoder,picked up,35329217,1,1.0,11.5402
3,encoder,picked up,35329217,1,0.9997,7.9752
3,encoder,picked up,35329217,1,0.9985,6.5156
3,encoder,picked up,35329217,1,0.9998,8.4557
3,encoder,picked up,35329217,1,1.0,11.6435
3,encoder,picked up,35329217,1,1.0,13.0757
3,encoder,picked up,35329217,1,0.9983,6.3826
3,encoder,picked up,35329217,1,0.9999,8.8719
3,encoder,picked up,35329217,1,0.9998,8.5048
3,encoder,picked up,35329217,1,0.9999,9.6857
3,encoder,picked up,35329217,1,1.0,10.6122
3,encoder,show up,26201459,1,1.0,20.5988
3,encoder,show up,26201459,1,1.0,10.8594
3,encoder,show up,26201459,1,1.0,11.5008
3,encoder,show up,26201459,1,0.8938,2.1301
3,encoder,show up,26201459,1,1.0,12.3866
3,encoder,show up,26201459,1,1.0,16.0225
3,encoder,show up,26201459,1,0.9707,3.5007
3,encoder,show up,26201459,1,1.0,18.7688
3,encoder,show up,26201459,1,1.0,11.2829
3,encoder,show up,26201459,0,0.2774,-0.9575
3,encoder,show up,26201459,1,0.9989,6.7904
3,encoder,show up,26201459,1,0.9946,5.2193
3,encoder,show up,26201459,0,0.249,-1.1039
3,encoder,show up,26201459,1,1.0,13.7018
3,encoder,show up,26201459,1,1.0,16.1316
3,encoder,show up,26201459,1,1.0,20.9465
3,encoder,show up,26201459,1,0.912,2.3379
3,encoder,show up,26201459,1,0.9992,7.171
3,encoder,show up,26201459,1,1.0,12.7221
