layer,component,verb_up,frequency,classifier_pred,up_probability,logit
2,decoder,come up,46625776,1,1.0,12.4786
2,decoder,come up,46625776,1,1.0,11.8846
2,decoder,come up,46625776,1,1.0,12.8934
2,decoder,come up,46625776,1,1.0,10.7952
2,decoder,come up,46625776,1,1.0,15.4961
2,decoder,come up,46625776,1,1.0,12.2553
2,decoder,come up,46625776,1,1.0,13.5598
2,decoder,come up,46625776,1,1.0,12.3578
2,decoder,come up,46625776,1,1.0,12.2461
2,decoder,come up,46625776,1,1.0,15.7793
2,decoder,come up,46625776,1,1.0,12.1195
2,decoder,come up,46625776,1,1.0,13.4825
2,decoder,come up,46625776,1,1.0,12.1742
2,decoder,come up,46625776,1,1.0,13.3403
2,decoder,come up,46625776,1,1.0,13.0799
2,decoder,come up,46625776,1,1.0,13.5133
2,decoder,come up,46625776,1,1.0,13.2522
2,decoder,come up,46625776,1,1.0,13.0466
2,decoder,come up,46625776,1,1.0,12.1378
2,decoder,come up,46625776,1,1.0,11.4878
2,decoder,set up,103842740,1,1.0,12.4136
2,decoder,set up,103842740,1,1.0,10.7347
2,decoder,set up,103842740,1,1.0,10.5376
2,decoder,set up,103842740,1,1.0,11.5232
2,decoder,set up,103842740,1,1.0,12.8448
2,decoder,set up,103842740,1,1.0,14.1086
2,decoder,set up,103842740,1,1.0,10.9735
2,decoder,set up,103842740,1,1.0,13.0174
2,decoder,set up,103842740,1,1.0,11.9944
2,decoder,set up,103842740,1,1.0,12.6918
2,decoder,set up,103842740,1,1.0,13.2777
2,decoder,set up,103842740,1,1.0,13.7415
2,decoder,set up,103842740,1,1.0,11.6533
2,decoder,set up,103842740,1,1.0,13.8174
2,decoder,set up,103842740,1,1.0,13.1398
2,decoder,set up,103842740,1,1.0,12.0476
2,decoder,set up,103842740,1,1.0,11.9345
2,decoder,set up,103842740,1,1.0,11.8688
2,decoder,set up,103842740,1,1.0,11.5516
2,decoder,set up,103842740,1,1.0,13.0159
2,decoder,up,0,1,1.0,13.9959
2,decoder,up,0,1,1.0,11.3406
2,decoder,up,0,1,1.0,12.4352
2,decoder,up,0,1,1.0,14.0142
2,decoder,up,0,1,1.0,14.853
2,decoder,up,0,1,1.0,12.8034
2,decoder,up,0,1,1.0,10.6875
2,decoder,up,0,1,1.0,13.1193
2,decoder,up,0,1,1.0,10.7321
2,decoder,up,0,1,1.0,11.4669
2,decoder,up,0,1,1.0,13.1389
2,decoder,up,0,1,1.0,13.3446
2,decoder,up,0,1,1.0,13.8687
2,decoder,up,0,1,1.0,12.7529
2,decoder,up,0,1,0.9998,8.772
2,decoder,up,0,1,1.0,12.0254
2,decoder,up,0,1,1.0,12.9791
2,decoder,up,0,1,1.0,10.9803
2,decoder,up,0,1,1.0,13.8037
2,decoder,up,0,1,1.0,10.9606
2,decoder,end up,70924084,1,1.0,15.0732
2,decoder,end up,70924084,1,1.0,15.4067
2,decoder,end up,70924084,1,1.0,13.9719
2,decoder,end up,70924084,1,1.0,12.524
2,decoder,end up,70924084,1,1.0,13.5163
2,decoder,end up,70924084,1,1.0,14.7775
2,decoder,end up,70924084,1,1.0,13.312
2,decoder,end up,70924084,1,1.0,10.8913
2,decoder,end up,70924084,1,1.0,13.4553
2,decoder,end up,70924084,1,1.0,14.0573
2,decoder,end up,70924084,1,1.0,13.8045
2,decoder,end up,70924084,1,1.0,13.4531
2,decoder,end up,70924084,1,1.0,12.7249
2,decoder,end up,70924084,1,1.0,14.331
2,decoder,end up,70924084,1,1.0,14.0277
2,decoder,end up,70924084,1,1.0,12.1132
2,decoder,end up,70924084,1,1.0,13.9914
2,decoder,end up,70924084,1,1.0,12.7493
2,decoder,end up,70924084,1,1.0,14.5052
2,decoder,end up,70924084,1,1.0,14.7327
2,decoder,came up,23263138,1,1.0,14.2031
2,decoder,came up,23263138,1,1.0,12.3842
2,decoder,came up,23263138,1,1.0,10.9865
2,decoder,came up,23263138,1,1.0,11.7805
2,decoder,came up,23263138,1,1.0,12.5632
2,decoder,came up,23263138,1,1.0,12.0727
2,decoder,came up,23263138,1,1.0,11.0003
2,decoder,came up,23263138,1,1.0,13.2464
2,decoder,came up,23263138,1,1.0,13.6757
2,decoder,came up,23263138,1,1.0,13.8404
2,decoder,came up,23263138,1,1.0,11.3344
2,decoder,came up,23263138,1,1.0,13.1979
2,decoder,came up,23263138,1,1.0,12.816
2,decoder,came up,23263138,1,1.0,12.8981
2,decoder,came up,23263138,1,1.0,11.6643
2,decoder,came up,23263138,1,1.0,11.8535
2,decoder,came up,23263138,1,1.0,13.7728
2,decoder,came up,23263138,1,1.0,13.4182
2,decoder,came up,23263138,1,1.0,12.5929
2,decoder,came up,23263138,1,1.0,10.9062
2,decoder,ended up,49589762,1,1.0,12.5995
2,decoder,ended up,49589762,1,1.0,14.523
2,decoder,ended up,49589762,1,1.0,11.9051
2,decoder,ended up,49589762,1,1.0,12.3862
2,decoder,ended up,49589762,1,1.0,10.9414
2,decoder,ended up,49589762,1,1.0,15.6839
2,decoder,ended up,49589762,1,1.0,12.1793
2,decoder,ended up,49589762,1,1.0,13.5634
2,decoder,ended up,49589762,1,1.0,13.7954
2,decoder,ended up,49589762,1,1.0,11.7065
2,decoder,ended up,49589762,1,1.0,13.6297
2,decoder,ended up,49589762,1,1.0,15.7596
2,decoder,ended up,49589762,1,1.0,12.4146
2,decoder,ended up,49589762,1,1.0,12.7759
2,decoder,ended up,49589762,1,1.0,12.5444
2,decoder,ended up,49589762,1,1.0,13.9474
2,decoder,ended up,49589762,1,1.0,13.0055
2,decoder,ended up,49589762,1,1.0,13.541
2,decoder,ended up,49589762,1,1.0,14.62
2,decoder,ended up,49589762,1,1.0,14.054
2,decoder,coming up,19257169,1,1.0,12.826
2,decoder,coming up,19257169,1,1.0,13.2373
2,decoder,coming up,19257169,1,1.0,13.3823
2,decoder,coming up,19257169,1,1.0,13.7302
2,decoder,coming up,19257169,1,1.0,13.5642
2,decoder,coming up,19257169,1,1.0,12.6783
2,decoder,coming up,19257169,1,1.0,11.1632
2,decoder,coming up,19257169,1,1.0,12.593
2,decoder,coming up,19257169,1,1.0,12.5753
2,decoder,coming up,19257169,1,1.0,10.6056
2,decoder,coming up,19257169,1,1.0,13.7404
2,decoder,coming up,19257169,1,1.0,11.3917
2,decoder,coming up,19257169,1,1.0,12.2273
2,decoder,coming up,19257169,1,1.0,12.9844
2,decoder,coming up,19257169,1,1.0,11.173
2,decoder,coming up,19257169,1,1.0,11.7549
2,decoder,coming up,19257169,1,1.0,13.4566
2,decoder,coming up,19257169,1,1.0,14.0488
2,decoder,coming up,19257169,1,1.0,11.7476
2,decoder,coming up,19257169,1,1.0,12.8988
2,decoder,grew up,29647067,1,1.0,12.9082
2,decoder,grew up,29647067,1,1.0,15.2288
2,decoder,grew up,29647067,1,1.0,14.5677
2,decoder,grew up,29647067,1,1.0,11.2633
2,decoder,grew up,29647067,1,1.0,13.0686
2,decoder,grew up,29647067,1,1.0,11.4502
2,decoder,grew up,29647067,1,1.0,13.3838
2,decoder,grew up,29647067,1,1.0,14.103
2,decoder,grew up,29647067,1,1.0,15.3329
2,decoder,grew up,29647067,1,1.0,13.4885
2,decoder,grew up,29647067,1,1.0,14.593
2,decoder,grew up,29647067,1,1.0,13.7301
2,decoder,grew up,29647067,1,1.0,11.591
2,decoder,grew up,29647067,1,1.0,13.5215
2,decoder,grew up,29647067,1,1.0,12.8836
2,decoder,grew up,29647067,1,1.0,12.6286
2,decoder,grew up,29647067,1,1.0,11.7087
2,decoder,grew up,29647067,1,1.0,11.5956
2,decoder,grew up,29647067,1,1.0,15.1164
2,decoder,grew up,29647067,1,1.0,12.3579
2,decoder,pick up,47130414,1,1.0,14.9417
2,decoder,pick up,47130414,1,1.0,12.4632
2,decoder,pick up,47130414,1,1.0,12.9552
2,decoder,pick up,47130414,1,1.0,12.6258
2,decoder,pick up,47130414,1,1.0,11.1685
2,decoder,pick up,47130414,1,1.0,11.0617
2,decoder,pick up,47130414,1,1.0,13.0408
2,decoder,pick up,47130414,1,1.0,12.8859
2,decoder,pick up,47130414,1,1.0,13.8576
2,decoder,pick up,47130414,1,1.0,13.7482
2,decoder,pick up,47130414,1,1.0,12.7577
2,decoder,pick up,47130414,1,1.0,13.2846
2,decoder,pick up,47130414,1,1.0,14.083
2,decoder,pick up,47130414,1,1.0,13.7781
2,decoder,pick up,47130414,1,1.0,10.4169
2,decoder,pick up,47130414,1,1.0,13.5177
2,decoder,pick up,47130414,1,1.0,14.1679
2,decoder,pick up,47130414,1,1.0,15.0574
2,decoder,pick up,47130414,1,1.0,10.4692
2,decoder,pick up,47130414,1,1.0,12.8441
2,decoder,made up,30311015,1,1.0,13.4711
2,decoder,made up,30311015,1,1.0,12.9439
2,decoder,made up,30311015,1,1.0,13.4214
2,decoder,made up,30311015,1,1.0,12.3104
2,decoder,made up,30311015,1,1.0,11.6529
2,decoder,made up,30311015,1,1.0,13.5184
2,decoder,made up,30311015,1,1.0,13.3884
2,decoder,made up,30311015,1,1.0,11.3605
2,decoder,made up,30311015,1,1.0,11.9315
2,decoder,made up,30311015,1,1.0,14.976
2,decoder,made up,30311015,1,1.0,11.9724
2,decoder,made up,30311015,1,1.0,10.2886
2,decoder,made up,30311015,1,1.0,14.1671
2,decoder,made up,30311015,1,1.0,11.7097
2,decoder,made up,30311015,1,1.0,12.2322
2,decoder,made up,30311015,1,1.0,13.7068
2,decoder,made up,30311015,1,1.0,13.0635
2,decoder,made up,30311015,1,1.0,12.6595
2,decoder,made up,30311015,1,1.0,13.4703
2,decoder,made up,30311015,1,1.0,11.0875
2,decoder,go up,14885945,1,1.0,11.7465
2,decoder,go up,14885945,1,1.0,13.4104
2,decoder,go up,14885945,1,1.0,11.1959
2,decoder,go up,14885945,1,1.0,12.0416
2,decoder,go up,14885945,1,1.0,11.0473
2,decoder,go up,14885945,1,1.0,11.7867
2,decoder,go up,14885945,1,1.0,12.6708
2,decoder,go up,14885945,1,1.0,13.4654
2,decoder,go up,14885945,1,1.0,11.7066
2,decoder,go up,14885945,1,1.0,13.5369
2,decoder,go up,14885945,1,1.0,14.129
2,decoder,go up,14885945,1,1.0,12.2202
2,decoder,go up,14885945,1,1.0,9.943
2,decoder,go up,14885945,1,1.0,9.969
2,decoder,go up,14885945,1,1.0,13.0841
2,decoder,go up,14885945,1,1.0,11.3224
2,decoder,go up,14885945,1,1.0,11.9438
2,decoder,go up,14885945,1,1.0,14.1943
2,decoder,go up,14885945,1,1.0,12.0939
2,decoder,go up,14885945,1,1.0,10.9725
2,decoder,picked up,35329217,1,1.0,13.2765
2,decoder,picked up,35329217,1,1.0,10.7529
2,decoder,picked up,35329217,1,1.0,13.0736
2,decoder,picked up,35329217,1,1.0,13.2094
2,decoder,picked up,35329217,1,1.0,11.8064
2,decoder,picked up,35329217,1,1.0,13.5496
2,decoder,picked up,35329217,1,1.0,14.9219
2,decoder,picked up,35329217,1,1.0,13.2714
2,decoder,picked up,35329217,1,1.0,12.1041
2,decoder,picked up,35329217,1,1.0,11.3226
2,decoder,picked up,35329217,1,1.0,11.8122
2,decoder,picked up,35329217,1,1.0,12.5029
2,decoder,picked up,35329217,1,1.0,13.6647
2,decoder,picked up,35329217,1,1.0,12.5451
2,decoder,picked up,35329217,1,1.0,11.9841
2,decoder,picked up,35329217,1,1.0,12.6278
2,decoder,picked up,35329217,1,1.0,12.6199
2,decoder,picked up,35329217,1,1.0,12.128
2,decoder,picked up,35329217,1,1.0,12.0612
2,decoder,picked up,35329217,1,1.0,13.7547
2,decoder,show up,26201459,1,1.0,11.8019
2,decoder,show up,26201459,1,1.0,12.5929
2,decoder,show up,26201459,1,1.0,13.8996
2,decoder,show up,26201459,1,1.0,13.8017
2,decoder,show up,26201459,1,1.0,11.9599
2,decoder,show up,26201459,1,1.0,15.1575
2,decoder,show up,26201459,1,1.0,15.4564
2,decoder,show up,26201459,1,1.0,12.2822
2,decoder,show up,26201459,1,1.0,14.5241
2,decoder,show up,26201459,1,1.0,12.1903
2,decoder,show up,26201459,1,1.0,12.1752
2,decoder,show up,26201459,1,1.0,13.8254
2,decoder,show up,26201459,1,1.0,13.4676
2,decoder,show up,26201459,1,1.0,12.4534
2,decoder,show up,26201459,1,1.0,13.8172
2,decoder,show up,26201459,1,1.0,11.1153
2,decoder,show up,26201459,1,1.0,15.0762
2,decoder,show up,26201459,1,1.0,10.7517
2,decoder,show up,26201459,1,1.0,13.5696
2,decoder,show up,26201459,1,1.0,13.8518
2,decoder,give up,26969854,1,1.0,10.1148
2,decoder,give up,26969854,1,1.0,13.0508
2,decoder,give up,26969854,1,1.0,13.5598
2,decoder,give up,26969854,1,1.0,12.1523
2,decoder,give up,26969854,1,1.0,11.9316
2,decoder,give up,26969854,1,1.0,13.9844
2,decoder,give up,26969854,1,1.0,13.413
