layer,component,verb_up,frequency,classifier_pred,up_probability,logit
5,encoder,set up,103842740,1,1.0,16.7272
5,encoder,set up,103842740,1,1.0,11.9832
5,encoder,set up,103842740,1,1.0,20.9057
5,encoder,set up,103842740,1,1.0,17.5453
5,encoder,set up,103842740,1,1.0,11.7402
5,encoder,set up,103842740,1,1.0,11.7402
5,encoder,set up,103842740,1,1.0,11.4937
5,encoder,set up,103842740,1,1.0,14.3678
5,encoder,set up,103842740,1,0.9969,5.7778
5,encoder,set up,103842740,1,0.9837,4.1005
5,encoder,set up,103842740,1,1.0,13.299
5,encoder,set up,103842740,1,1.0,11.6162
5,encoder,set up,103842740,1,1.0,13.3762
5,encoder,set up,103842740,1,1.0,16.5643
5,encoder,set up,103842740,1,1.0,17.365
5,encoder,set up,103842740,1,1.0,18.2582
5,encoder,set up,103842740,1,0.9982,6.3222
5,encoder,set up,103842740,1,1.0,10.9968
5,encoder,set up,103842740,1,0.9999,9.7676
5,encoder,set up,103842740,1,1.0,19.5865
5,encoder,come up,46625776,1,1.0,18.167
5,encoder,come up,46625776,1,0.9997,8.2454
5,encoder,come up,46625776,1,1.0,14.4322
5,encoder,come up,46625776,1,0.9999,9.4385
5,encoder,come up,46625776,0,0.0008,-7.1646
5,encoder,come up,46625776,1,1.0,18.3802
5,encoder,come up,46625776,0,0.087,-2.3505
5,encoder,come up,46625776,1,1.0,16.7709
5,encoder,come up,46625776,1,1.0,10.7978
5,encoder,come up,46625776,1,0.8591,1.8075
5,encoder,come up,46625776,1,0.9998,8.666
5,encoder,come up,46625776,1,0.9971,5.8353
5,encoder,come up,46625776,1,1.0,10.9538
5,encoder,come up,46625776,1,1.0,11.4901
5,encoder,come up,46625776,1,0.9499,2.9427
5,encoder,come up,46625776,1,0.9999,9.086
5,encoder,come up,46625776,1,1.0,13.409
5,encoder,come up,46625776,1,1.0,13.3732
5,encoder,come up,46625776,1,0.9998,8.6677
5,encoder,come up,46625776,1,1.0,13.3732
5,encoder,up,0,1,0.7997,1.3846
5,encoder,up,0,1,0.7997,1.3846
5,encoder,up,0,1,0.9998,8.7994
5,encoder,up,0,1,1.0,12.6722
5,encoder,up,0,1,1.0,13.3933
5,encoder,up,0,1,0.9997,8.158
5,encoder,up,0,1,1.0,10.2914
5,encoder,up,0,1,1.0,11.6592
5,encoder,up,0,1,0.9165,2.3957
5,encoder,up,0,1,1.0,18.2093
5,encoder,up,0,1,1.0,20.348
5,encoder,up,0,1,1.0,17.0411
5,encoder,up,0,1,1.0,10.7168
5,encoder,up,0,1,1.0,14.2942
5,encoder,up,0,1,1.0,14.5934
5,encoder,up,0,1,1.0,15.1854
5,encoder,up,0,1,1.0,10.1933
5,encoder,up,0,1,1.0,14.8817
5,encoder,up,0,1,1.0,12.4778
5,encoder,up,0,1,1.0,18.6748
5,encoder,end up,70924084,0,0.2085,-1.3338
5,encoder,end up,70924084,1,1.0,17.5564
5,encoder,end up,70924084,1,1.0,11.5997
5,encoder,end up,70924084,1,1.0,18.7708
5,encoder,end up,70924084,1,0.9998,8.4824
5,encoder,end up,70924084,1,1.0,12.252
5,encoder,end up,70924084,1,1.0,11.6218
5,encoder,end up,70924084,1,1.0,16.4396
5,encoder,end up,70924084,1,1.0,17.9889
5,encoder,end up,70924084,1,1.0,19.2793
5,encoder,end up,70924084,1,1.0,10.4124
5,encoder,end up,70924084,1,0.9995,7.5544
5,encoder,end up,70924084,0,0.0,-21.7163
5,encoder,end up,70924084,0,0.0,-21.7163
5,encoder,end up,70924084,1,1.0,12.1626
5,encoder,end up,70924084,1,1.0,11.5146
5,encoder,end up,70924084,1,1.0,11.5146
5,encoder,end up,70924084,1,0.9999,8.9064
5,encoder,end up,70924084,1,1.0,10.6979
5,encoder,end up,70924084,1,0.989,4.4962
5,encoder,pick up,47130414,1,1.0,15.9713
5,encoder,pick up,47130414,1,0.9993,7.2214
5,encoder,pick up,47130414,1,1.0,18.2879
5,encoder,pick up,47130414,1,0.9999,8.9853
5,encoder,pick up,47130414,1,1.0,17.6858
5,encoder,pick up,47130414,1,1.0,21.1434
5,encoder,pick up,47130414,1,0.9981,6.2529
5,encoder,pick up,47130414,1,1.0,10.0142
5,encoder,pick up,47130414,1,1.0,19.3352
5,encoder,pick up,47130414,1,1.0,17.1376
5,encoder,pick up,47130414,1,1.0,16.5591
5,encoder,pick up,47130414,1,1.0,13.2689
5,encoder,pick up,47130414,1,1.0,14.2997
5,encoder,pick up,47130414,1,1.0,19.8335
5,encoder,pick up,47130414,1,1.0,11.8286
5,encoder,pick up,47130414,1,1.0,10.4528
5,encoder,pick up,47130414,1,1.0,17.181
5,encoder,pick up,47130414,1,0.9999,9.5825
5,encoder,pick up,47130414,0,0.3636,-0.5596
5,encoder,pick up,47130414,1,1.0,13.9193
5,encoder,came up,23263138,1,0.9991,6.9906
5,encoder,came up,23263138,1,1.0,18.3161
5,encoder,came up,23263138,1,1.0,10.5162
5,encoder,came up,23263138,1,1.0,13.7166
5,encoder,came up,23263138,1,1.0,19.7348
5,encoder,came up,23263138,1,1.0,14.9524
5,encoder,came up,23263138,1,1.0,14.3798
5,encoder,came up,23263138,1,0.9996,7.8544
5,encoder,came up,23263138,1,1.0,21.6934
5,encoder,came up,23263138,1,0.9999,9.7894
5,encoder,came up,23263138,1,1.0,10.7652
5,encoder,came up,23263138,1,1.0,11.2947
5,encoder,came up,23263138,1,1.0,13.3489
5,encoder,came up,23263138,1,0.9852,4.1954
5,encoder,came up,23263138,1,0.9901,4.6082
5,encoder,came up,23263138,1,1.0,13.1133
5,encoder,came up,23263138,1,1.0,12.3442
5,encoder,came up,23263138,1,1.0,15.8574
5,encoder,came up,23263138,1,1.0,12.8659
5,encoder,came up,23263138,1,0.9824,4.0248
5,encoder,ended up,49589762,1,1.0,13.5093
5,encoder,ended up,49589762,1,1.0,10.2788
5,encoder,ended up,49589762,1,1.0,13.1593
