layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
0,17.3865053580394,13.692826821290426,0.074408407698372,0.09742475907777763,-3.6936785367489744,0.12258953796132098,-3.9339540311531636,-3.4534030423447852,-3.8505931453394653,-3.5367639281584835,OLMo-3 7B
1,15.982093274799801,12.004512197602986,0.07385650147959291,0.09661286791404272,-3.977581077196815,0.12160932964777568,-4.215935363306455,-3.739226791087175,-4.133241019145967,-3.821921135247662,OLMo-3 7B
2,14.61809019242368,10.36688035206497,0.07349262081686687,0.09608341873107966,-4.25120984035871,0.12096771746868569,-4.488306566597334,-4.014113114120086,-4.406048518718627,-4.096371161998793,OLMo-3 7B
3,13.334905111774507,8.830614062825795,0.07330277390029415,0.09581512361297481,-4.504291048948712,0.12063927459350578,-4.740744027151983,-4.267838070745441,-4.658709320428399,-4.349872777469025,OLMo-3 7B
4,12.172947033715758,7.446396108034884,0.0732524180132238,0.09575538810116226,-4.726550925680874,0.1205612337992121,-4.96285094392733,-4.490250907434418,-4.880869304943865,-4.572232546417882,OLMo-3 7B
5,11.172624959110909,6.264909265841658,0.07329217212872649,0.09582905456969487,-4.9077156932692505,0.12064389829190879,-5.144177733921392,-4.671253652617109,-5.062139883082894,-4.753291503455607,OLMo-3 7B
6,10.374347888823436,5.336836314395542,0.0733658851510794,0.09595073895146407,-5.037511574427894,0.1207853360691329,-5.274250833123395,-4.800772315732393,-5.192116804596384,-4.882906344259404,OLMo-3 7B
7,9.818524823716814,4.712860031845954,0.07342060546732744,0.09603996129113129,-5.1056647918708595,0.120889451450451,-5.342608116713744,-4.868721467027975,-5.260403289727437,-4.950926294014282,OLMo-3 7B
8,9.545336332304206,4.443327056537749,0.0734183314726477,0.09603885042628073,-5.1020092757664575,0.12088718785474784,-5.3389481639617635,-4.865070387571151,-5.256744876220535,-4.94727367531238,OLMo-3 7B
9,9.567322668711306,4.5379111104631455,0.07335801291975243,0.09594581427968439,-5.02941155824816,0.12077664234994386,-5.26613377725405,-4.79268933924227,-5.184005660456088,-4.874817456040232,OLMo-3 7B
10,9.843342484741015,4.927293061541062,0.07328041297478731,0.09582340124131833,-4.916049423199953,0.12063226413862116,-5.152488660911651,-4.679610185488256,-5.070458721297388,-4.761640125102518,OLMo-3 7B
11,10.326086758737878,5.533078002967099,0.07322826946253906,0.09573728831191651,-4.793008755770779,0.1205321858334829,-5.029251840004405,-4.5567656715371525,-4.947289953637637,-4.638727557903921,OLMo-3 7B
12,10.96824646904644,6.276871027936863,0.07322719182787976,0.09572734139162144,-4.691375441109576,0.12052363051661337,-4.927601756922138,-4.455149125297014,-4.845645688170841,-4.537105194048311,OLMo-3 7B
13,11.72251259401124,7.080277229645954,0.07327719445291499,0.09579479404607737,-4.642235364365286,0.12060758596879674,-4.878626232864128,-4.405844495866444,-4.796613074405346,-4.487857654325226,OLMo-3 7B
14,12.541576111976825,7.864901701289975,0.07335275409972183,0.09590231318369705,-4.67667441068685,0.12073889268996206,-4.913322640359175,-4.440026181014525,-4.831220193330002,-4.522128628043698,OLMo-3 7B
15,13.378128001287738,8.552349536064527,0.07341139218072598,0.09598697561009557,-4.825778465223211,0.12084176425675619,-5.062628323166453,-4.588928607279969,-4.980455923471859,-4.671101006974562,OLMo-3 7B
16,14.185511789976093,9.06634601587465,0.07341139218072601,0.0959869756100956,-5.119165774101443,0.12084176425675623,-5.356015632044685,-4.882315916158201,-5.2738432323500914,-4.964488315852795,OLMo-3 7B
17,14.932079648888136,9.379380762942372,0.07335275409972186,0.09590231318369706,-5.552698885945764,0.12073889268996207,-5.78934711561809,-5.316050656273439,-5.707244668588916,-5.3981531033026124,OLMo-3 7B
