layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
0,9.76582070510465,9.496566449017685,0.06656764963243539,0.08421773058898624,-0.26925425608696507,0.10734932753932716,-0.4796589380640463,-0.05884957410988384,-0.40666139533730383,-0.1318471168366263,OLMo-3 7B
1,9.712810004656488,8.88826820195418,0.06593215973223064,0.08326170743908883,-0.8245418027023081,0.10620528053081352,-1.0327041525427028,-0.6163794528619136,-0.9604845617817495,-0.6885990436228668,OLMo-3 7B
2,9.677351409619137,8.310519376211108,0.06551273891482143,0.08264035260173487,-1.3668320334080288,0.10545779647925811,-1.5735293145073748,-1.160134752308683,-1.5018180129014793,-1.2318460539145784,OLMo-3 7B
3,9.676997025403406,7.79386939310891,0.06529408866874553,0.08232979209026303,-1.8831276322944959,0.10507860239224702,-2.0890816929833,-1.6771735716056917,-2.017628243356572,-1.7486270212324198,OLMo-3 7B
4,9.729298957420108,7.36886767396802,0.06523665518476324,0.08226759766318659,-2.3604312834520877,0.10499418462451927,-2.5662198853161455,-2.15464268158803,-2.4948238397714726,-2.226038727132703,OLMo-3 7B
5,9.85180931108005,7.066063640108875,0.06528336556694138,0.0823635824487628,-2.785745670971175,0.10509841832083418,-2.99173857088001,-2.57975277106234,-2.920271646421843,-2.651219695520507,OLMo-3 7B
6,10.062080191794045,6.916006712851911,0.06536918875312414,0.0825151115289579,-3.1460734789421343,0.10527048241970743,-3.352403624484761,-2.9397433333995076,-3.2808196964393597,-3.011327261444909,OLMo-3 7B
7,10.377663704972903,6.9492463135175635,0.06543282621077777,0.08262555972070752,-3.4284173914553397,0.10539657425689912,-3.634994676998862,-3.2218401059118174,-3.5633250065041704,-3.293509776406509,OLMo-3 7B
8,10.815981522409416,7.196098212404241,0.06543031700931476,0.0826254835130137,-3.619883310005175,0.10539495675647258,-3.8264574252478614,-3.4133091947624887,-3.75478885465346,-3.48497776535689,OLMo-3 7B
9,11.378672848116123,7.6586064061448855,0.06536044360697724,0.08251300311702837,-3.7200664419712375,0.1052633994885762,-3.9263827049688467,-3.5137501789736283,-3.854803593316615,-3.58532929062586,OLMo-3 7B
10,12.036724985871182,8.283906901195706,0.06527038544019832,0.0823634945669103,-3.752818084675475,0.10509028714769751,-3.958795047484962,-3.546841121865988,-3.8873336522245276,-3.6183025171264225,OLMo-3 7B
11,12.757603531766252,9.012827126418143,0.06520965467715242,0.08225623556729093,-3.7447764053481087,0.10496850648082559,-3.950514678050527,-3.5390381326456906,-3.8791360936435657,-3.6104167170526518,OLMo-3 7B
12,13.508774081892993,9.786194510673631,0.06520797508327898,0.08223969092004332,-3.7225795712193612,0.10495449860337473,-3.9282903884819755,-3.516868753956747,-3.856921329431681,-3.5882378130070416,OLMo-3 7B
13,14.257702232343059,10.54483648282361,0.06526542720585428,0.08231602064978961,-3.712865749519448,0.10505000354107208,-3.9187637564599496,-3.5069677425789467,-3.8473297540520206,-3.5784017449868757,OLMo-3 7B
14,14.971853579208108,11.229580471729516,0.06535251287966005,0.08244113237525195,-3.742273107478592,0.10520214468821418,-3.948469311067492,-3.5360769038896924,-3.8769318526795065,-3.607614362277678,OLMo-3 7B
15,15.618693718579802,11.781253906252786,0.06542014146695162,0.08254033595949455,-3.837439812327016,0.10532189691541921,-4.043870730281238,-3.6310088943727945,-3.972251840378753,-3.7026277842752795,OLMo-3 7B
16,16.1665164784415,12.142574408096243,0.06542014146695165,0.08254033595949462,-4.023942070345258,0.10532189691541928,-4.2303729882994805,-3.8175111523910368,-4.1587540983969955,-3.8891300422935218,OLMo-3 7B
17,16.60266502028578,12.299734034314508,0.06535251287966008,0.08244113237525215,-4.3029309859712725,0.10520214468821434,-4.509127189560172,-4.096734782382373,-4.437589731172187,-4.168272240770358,OLMo-3 7B
18,16.933531839114437,12.28239927731401,0.06526542720585433,0.08231602064978993,-4.651132561800427,0.10505000354107236,-4.857030568740929,-4.445234554859925,-4.785596566333,-4.516668557267854,OLMo-3 7B
19,17.16633766182097,12.122126822342558,0.06520797508327904,0.08223969092004374,-5.0442108394784135,0.1049544986033751,-5.249921656741028,-4.838500022215799,-5.178552597690734,-4.909869081266093,OLMo-3 7B
20,17.308303215298878,11.850473354647965,0.06520965467715246,0.0822562355672914,-5.457829860650913,0.104968506480826,-5.663568133353332,-5.2520915879484935,-5.5921895489463695,-5.323470172355456,OLMo-3 7B
21,17.36664922644166,11.498995559478038,0.06527038544019838,0.08236349456691085,-5.867653666963621,0.10509028714769797,-6.073630629773109,-5.661676704154133,-6.0021692345126745,-5.7331380994145675,OLMo-3 7B
22,17.348596422142805,11.099250122080592,0.06536044360697724,0.08251300311702893,-6.2493463000622125,0.10526339948857664,-6.455662563059823,-6.043030037064602,-6.384083451407591,-6.114609148716834,OLMo-3 7B
23,17.26136552929582,10.682793727703434,0.06543031700931473,0.08262548351301426,-6.5785718015923855,0.10539495675647298,-6.785145916835073,-6.371997686349698,-6.713477346240671,-6.4436662569441,OLMo-3 7B
24,17.112215302937916,10.278757967952988,0.06543282621077774,0.08262555972070804,-6.833457334984928,0.10539657425689952,-7.040034620528451,-6.626880049441405,-6.968364950033759,-6.698549719936096,OLMo-3 7B
25,16.908735483801543,9.895167137927317,0.06536918875312406,0.08251511152895835,-7.013568345874226,0.10527048241970774,-7.219898491416854,-6.807238200331599,-7.148314563371453,-6.878822128377,OLMo-3 7B
26,16.65868623504097,9.52917752047975,0.06528336556694131,0.08236358244876313,-7.12950871456122,0.1050984183208344,-7.335501614470056,-6.923515814652385,-7.264034690011888,-6.994982739110553,OLMo-3 7B
27,16.369829128260232,9.177855580180605,0.06523665518476313,0.0822675976631868,-7.191973548079627,0.10499418462451937,-7.397762149943685,-6.986184946215569,-7.326366104399011,-7.057580991760243,OLMo-3 7B
28,16.04992573506336,8.838267781600194,0.06529408866874542,0.08232979209026309,-7.211657953463167,0.10507860239224699,-7.417612014151971,-7.0057038927743625,-7.346158564525243,-7.07715734240109,OLMo-3 7B
29,15.706737627054391,8.507480589308837,0.06551273891482128,0.08264035260173476,-7.199257037745554,0.10545779647925793,-7.405954318844899,-6.992559756646208,-7.334243017239004,-7.064271058252103,OLMo-3 7B
30,15.348026375837351,8.182560467876849,0.06593215973223047,0.08326170743908855,-7.1654659079605025,0.10620528053081318,-7.373628257800896,-6.957303558120109,-7.301408667039944,-7.0295231488810614,OLMo-3 7B
31,14.98155355301628,7.860573881874544,0.06656764963243517,0.08421773058898578,-7.120979671141736,0.10734932753932666,-7.331384353118817,-6.9105749891646555,-7.258386810392074,-6.983572531891398,OLMo-3 7B
0,12.922067860872827,12.401930993778448,0.09202700170544073,0.09037221501250668,-0.5201368670943793,0.12898103073382508,-0.7729396873326765,-0.2673340468560822,-0.6852325864336755,-0.3550411477550832,BabyLM 125M
1,12.792036053587104,12.644144355872145,0.08743724272510948,0.08606524529924069,-0.14789169771495914,0.12268862157424454,-0.3883613960004784,0.09257800057056015,-0.30493313332999217,0.009149737900073868,BabyLM 125M
2,12.72565527723439,12.870697074513743,0.08844826719838828,0.08699759635892489,0.14504179727935274,0.12406320059803352,-0.09812207589279295,0.38820567045149845,-0.013759099486130189,0.30384269404483566,BabyLM 125M
3,12.785925430172313,13.065779212291858,0.0887522600718706,0.08726869694980255,0.27985378211954526,0.12447003308098473,0.03589251728081519,0.5238150469582753,0.12053213977588481,0.4391754244632057,BabyLM 125M
