layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
0,11.195917628764086,11.061077125613794,0.08032739056068115,0.08596251797204936,-0.13484050315029172,0.11765221702281312,-0.3654388485150054,0.09575784221442199,-0.2854353409394925,0.015754334638909073,Encoder
1,10.923353840642433,10.812801555896623,0.0687760731984429,0.07442728507001585,-0.11055228474580936,0.10133888201224138,-0.3091764934898025,0.08807192399818375,-0.24026605372147833,0.01916148422985961,Encoder
2,10.672027642001254,10.569682390922532,0.07132769131593722,0.0769911354605192,-0.10234525107872194,0.10495367782008233,-0.3080544596060833,0.10336395744863941,-0.23668595868842732,0.03199545653098343,Encoder
3,10.463241327615526,10.337039221641668,0.07197421855897874,0.07763636487412275,-0.12620210597385828,0.10586639357248154,-0.3337002373759221,0.08129602542820552,-0.26171108974663465,0.00930687779891809,Encoder
4,10.326126532895199,10.139937170059488,0.06861847756960708,0.07427513214610444,-0.18618936283571053,0.10112017958494707,-0.38438491482220677,0.012006189150785718,-0.3156231927044428,-0.05675553296697827,Encoder
5,10.305020637458565,10.041790116842549,0.07141742256401827,0.0770518627073104,-0.26323052061601615,0.10505921088773586,-0.4691465739559784,-0.05731446727605388,-0.3977063105523181,-0.12875473067971424,Encoder
6,10.441325048545995,10.10561211676184,0.07141742256402643,0.07705186270732137,-0.33571293178415473,0.10505921088774944,-0.5416289851241436,-0.12979687844416582,-0.470188721720474,-0.20123714184783545,Encoder
7,10.668731820817943,10.28388259440023,0.06861847756962557,0.07427513214613872,-0.38484922641771213,0.1011201795849848,-0.5830447784042824,-0.18665367443114192,-0.5142830562864926,-0.2554153965489316,Encoder
8,10.813223656354964,10.41854634415253,0.07197421855899812,0.07763636487416624,-0.3946773122024343,0.10586639357252661,-0.6021754436045864,-0.18717918080028215,-0.5301862959752683,-0.25916832842960025,Encoder
9,10.716496394486402,10.36451349635401,0.07132769131595021,0.07699113546055592,-0.35198289813239114,0.1049536778201181,-0.5576921066598226,-0.14627368960495968,-0.4863236057421423,-0.21764219052263997,Encoder
10,10.397767943279081,10.131369348574196,0.06877607319844392,0.07442728507003203,-0.26639859470488503,0.10133888201225397,-0.4650228034489028,-0.06777438596086727,-0.3961123636805701,-0.13668482572919996,Encoder
11,9.967661190873152,9.808340454703238,0.08032739056066293,0.08596251797203783,-0.1593207361699136,0.11765221702279224,-0.38991908153458643,0.0712776091947592,-0.30991557395908764,-0.008725898380739533,Encoder
0,12.791654346439183,12.791448960647832,0.051739184742880424,0.055973318529688426,-2.0538579135020996e-4,0.07622306491531203,-0.14960259302536177,0.14919182144266135,-0.0977709088829496,0.09736013730024919,Decoder
1,11.377283303874115,11.282300112216387,0.04689584336194028,0.05119357925878566,-0.09498319165772884,0.06942623914596849,-0.23105862038382707,0.0410922370683694,-0.1838487777645685,-0.006117605550889166,Decoder
2,10.132410145833855,9.901747790203759,0.04781092517150392,0.05212093330370434,-0.23066235563009663,0.07072818571265874,-0.36928959962690777,-0.09203511163328551,-0.3211944333422998,-0.14013027791789345,Decoder
3,9.225645957909494,8.777798216781154,0.04808985237004219,0.052398584469204534,-0.44784774112834036,0.07112134388036277,-0.5872455751338514,-0.3084499071228293,-0.5388830612952047,-0.35681242096147603,Decoder
4,8.718299154711357,7.967030800159467,0.04678699204067153,0.05109822126751068,-0.7512683545518897,0.06928239921449994,-0.8870618570123096,-0.6154748520914698,-0.8399498255464496,-0.6625868835573298,Decoder
5,8.46328040142436,7.387303450362254,0.04784050733732364,0.05213540380564578,-1.0759769510621053,0.07075884730738809,-1.214664291784586,-0.9372896103396247,-1.166548275615562,-0.9854056265086486,Decoder
6,8.292476344055952,6.941436361703466,0.04784050733731878,0.052135403805652986,-1.3510399823524866,0.0707588473073901,-1.4897273230749712,-1.212352641630002,-1.441611306905946,-1.2604686577990272,Decoder
7,8.104923325375378,6.552961204939889,0.046786992040654736,0.0510982212675281,-1.5519621204354888,0.06928239921450145,-1.6877556228959116,-1.4161686179750659,-1.6406435914300506,-1.463280649440927,Decoder
8,7.866807384913677,6.166121127271128,0.04808985237001626,0.05239858446922688,-1.7006862576425483,0.0711213438803617,-1.8400840916480572,-1.5612884236370395,-1.7917215778094113,-1.6096509374756853,Decoder
9,7.551686571620551,5.731628277786876,0.047810925171481305,0.052120933303724006,-1.8200582938336751,0.07072818571265795,-1.9586855378304846,-1.6814310498368656,-1.9105903715458772,-1.729526216121473,Decoder
10,7.171871804283107,5.248661405016066,0.046895843361929326,0.05119357925879598,-1.9232103992670408,0.06942623914596871,-2.0592858279931394,-1.7871349705409423,-2.012075985373881,-1.834344813160201,Decoder
11,6.759627607008957,4.741354400177641,0.05173918474288322,0.05597331852968216,-2.0182732068313163,0.07622306491530934,-2.1676704140653227,-1.8688759995973099,-2.1158387299229124,-1.9207076837397203,Decoder
