layer,log_freq,fit,panel
0,9.379323364330956,14.380003339831696,Encoder
1,9.379323364330956,14.184980460387214,Encoder
2,9.379323364330956,13.985560713069464,Encoder
3,9.379323364330956,13.777340514018222,Encoder
4,9.379323364330956,13.555103644950911,Encoder
5,9.379323364330956,13.312055630648903,Encoder
6,9.379323364330956,13.041531647166488,Encoder
7,9.379323364330956,12.744019477737893,Encoder
8,9.379323364330956,12.42715951277728,Encoder
9,9.379323364330956,12.098584604937077,Encoder
10,9.379323364330956,11.76315529722493,Encoder
11,9.379323364330956,11.424304688107965,Encoder
0,9.512335201135029,14.35205299089842,Encoder
1,9.512335201135029,14.156324542118929,Encoder
2,9.512335201135029,13.956398899681714,Encoder
3,9.512335201135029,13.748073146701346,Encoder
4,9.512335201135029,13.5264518557393,Encoder
5,9.512335201135029,13.285294640844896,Encoder
6,9.512335201135029,13.018494940854083,Encoder
7,9.512335201135029,12.726578289104761,Encoder
8,9.512335201135029,12.416702313436753,Encoder
9,9.512335201135029,12.096010660225234,Encoder
10,9.512335201135029,11.769015555516523,Encoder
11,9.512335201135029,11.438874323825864,Encoder
0,9.6453470379391,14.324102636628528,Encoder
1,9.6453470379391,14.12766862756667,Encoder
2,9.6453470379391,13.927237095827863,Encoder
3,9.6453470379391,13.718805788292405,Encoder
4,9.6453470379391,13.497800068267628,Encoder
5,9.6453470379391,13.258533645014262,Encoder
6,9.6453470379391,12.995458226536076,Encoder
7,9.6453470379391,12.709137096876033,Encoder
8,9.6453470379391,12.406245116116281,Encoder
9,9.6453470379391,12.093436719444947,Encoder
10,9.6453470379391,11.77487581560669,Encoder
11,9.6453470379391,11.4534439571774,Encoder
0,9.778358874743173,14.296152276753691,Encoder
1,9.778358874743173,14.099012716917281,Encoder
2,9.778358874743173,13.898075301987275,Encoder
3,9.778358874743173,13.689538439239284,Encoder
4,9.778358874743173,13.469148282623372,Encoder
5,9.778358874743173,13.231772642853985,Encoder
6,9.778358874743173,12.972421503809935,Encoder
7,9.778358874743173,12.691695900870911,Encoder
8,9.778358874743173,12.395787920917442,Encoder
9,9.778358874743173,12.090862782793895,Encoder
10,9.778358874743173,11.780736077585866,Encoder
11,9.778358874743173,11.468013588043599,Encoder
0,9.911370711547246,14.268201911005587,Encoder
1,9.911370711547246,14.070356810357598,Encoder
2,9.911370711547246,13.868913518639316,Encoder
3,9.911370711547246,13.660271099989904,Encoder
4,9.911370711547246,13.440496498894023,Encoder
5,9.911370711547246,13.20501163406104,Encoder
6,9.911370711547246,12.949384772273143,Encoder
7,9.911370711547246,12.674254700908612,Encoder
8,9.911370711547246,12.3853307279418,Encoder
9,9.911370711547246,12.088288850469754,Encoder
10,9.911370711547246,11.78659634154449,Encoder
11,9.911370711547246,11.482583216305477,Encoder
0,10.044382548351317,14.240251539115887,Encoder
1,10.044382548351317,14.041700908074475,Encoder
2,10.044382548351317,13.839751746263353,Encoder
3,10.044382548351317,13.631003770992143,Encoder
4,10.044382548351317,13.411844717167057,Encoder
5,10.044382548351317,13.178250618332406,Encoder
6,10.044382548351317,12.926348031523167,Encoder
7,10.044382548351317,12.656813496808343,Encoder
8,10.044382548351317,12.374873537290929,Encoder
9,10.044382548351317,12.085714922670208,Encoder
10,10.044382548351317,11.792456607572984,Encoder
11,10.044382548351317,11.497152841844045,Encoder
0,10.17739438515539,14.212301160816262,Encoder
1,10.17739438515539,14.013045010254743,Encoder
2,10.17739438515539,13.81058998533876,Encoder
3,10.17739438515539,13.601736452693894,Encoder
4,10.17739438515539,13.383192937529968,Encoder
5,10.17739438515539,13.151489595365058,Encoder
6,10.17739438515539,12.903311281157483,Encoder
7,10.17739438515539,12.639372288389318,Encoder
8,10.17739438515539,12.364416349066394,Encoder
9,10.17739438515539,12.083140999592935,Encoder
10,10.17739438515539,11.798316875761794,Encoder
11,10.17739438515539,11.51172246454033,Encoder
0,10.310406221959461,14.184350775838388,Encoder
1,10.310406221959461,13.984389117085245,Encoder
2,10.310406221959461,13.781428236344901,Encoder
3,10.310406221959461,13.57246914554306,Encoder
4,10.310406221959461,13.35454116007023,Encoder
5,10.310406221959461,13.124728564855982,Encoder
6,10.310406221959461,12.88027452077357,Encoder
7,10.310406221959461,12.621931075470751,Encoder
