Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,8.254546166875,0.053883149831614234,8.149015129999999,8.360884002499999,100
OLMo-3 7B,c_log_freq,-0.999154461535,0.05869678158243709,-1.1126450099999998,-0.88153490375,0
OLMo-3 7B,c_log_predic,-2.72334304415,0.054868814080468335,-2.8308298725000003,-2.61713516,0
OLMo-3 7B,c_log_freq:c_log_predic,-0.010653291974263084,0.054729003682193224,-0.117999312,0.09852607724999998,41.9
BabyLM 125M,Intercept,7.132028335966667,0.0370815398618342,7.0585917325,7.2020455375,100
BabyLM 125M,c_log_freq,-0.4227295775566667,0.03922220291778724,-0.5004926075,-0.3476089255,0
BabyLM 125M,c_log_predic,-0.195012248025,0.03857929180631598,-0.26987714525000006,-0.11956198900000002,0
BabyLM 125M,c_log_freq:c_log_predic,-0.12841155275339416,0.038105922284343764,-0.20230311725,-0.052930235775,0
BabyLM 350M,Intercept,6.455524942183334,0.049629450163023926,6.358131892499999,6.551951215,100
BabyLM 350M,c_log_freq,-0.7142083376875,0.050073307946502825,-0.8123929172500001,-0.6165843304999999,0
BabyLM 350M,c_log_predic,-0.2271916548747,0.04953961558282151,-0.32398952599999997,-0.1295440315,0
BabyLM 350M,c_log_freq:c_log_predic,-0.1240916591628325,0.04929026366049708,-0.22040041025,-0.02775920465000001,0.6
BabyLM 1.3B,Intercept,8.211399009941667,0.05109804513980756,8.1132685825,8.3106187225,100
BabyLM 1.3B,c_log_freq,-0.7402097805933333,0.054564433507347576,-0.8448391247500001,-0.6332641485000001,0
BabyLM 1.3B,c_log_predic,-0.1356961712696905,0.05262107185801351,-0.23849163399999998,-0.03178343580000002,0.5
BabyLM 1.3B,c_log_freq:c_log_predic,-0.115418835053425,0.05185854793256396,-0.21652017875,-0.012319551625000027,1.4
