model,epoch,loss
OPT-125M,0.05,8.9712
OPT-125M,0.1,7.9842
OPT-125M,0.15,7.3451
OPT-125M,0.2,6.8753
OPT-125M,0.25,6.3354
OPT-125M,0.3,5.9322
OPT-125M,0.35,5.6527
OPT-125M,0.4,5.4513
OPT-125M,0.45,5.3322
OPT-125M,0.5,5.1982
OPT-125M,0.55,5.0348
OPT-125M,0.6,4.9211
OPT-125M,0.65,4.8283
OPT-125M,0.7,4.7264
OPT-125M,0.75,4.6218
OPT-125M,0.8,4.5742
OPT-125M,0.85,4.4819
OPT-125M,0.9,4.4757
OPT-125M,0.95,4.3986
OPT-125M,1.0,4.3899
OPT-125M,1.05,4.3316
OPT-125M,1.1,4.3295
OPT-125M,1.15,4.2759
OPT-125M,1.2,4.2682
OPT-125M,1.25,4.2023
OPT-125M,1.3,4.2212
OPT-125M,1.35,4.1601
OPT-125M,1.4,4.1365
OPT-125M,1.45,4.1086
OPT-125M,1.5,4.1018
OPT-125M,1.55,4.1115
OPT-125M,1.6,4.0528
OPT-125M,1.65,4.0265
OPT-125M,1.7,4.0112
OPT-125M,1.75,4.0205
OPT-125M,1.8,3.967
OPT-125M,1.85,3.9735
OPT-125M,1.9,3.9624
OPT-125M,1.95,3.9169
OPT-125M,2.0,3.8935
OPT-125M,2.05,3.911
OPT-125M,2.1,3.8712
OPT-125M,2.15,3.8493
OPT-125M,2.2,3.8436
OPT-125M,2.25,3.865
OPT-125M,2.3,3.8244
OPT-125M,2.35,3.8294
OPT-125M,2.4,3.758
OPT-125M,2.45,3.7807
OPT-125M,2.5,3.7754
OPT-125M,2.55,3.7645
OPT-125M,2.6,3.7368
OPT-125M,2.65,3.7171
OPT-125M,2.7,3.7183
OPT-125M,2.75,3.6833
OPT-125M,2.8,3.7024
OPT-125M,2.85,3.6656
OPT-125M,2.9,3.6583
OPT-125M,2.95,3.6698
OPT-125M,3.0,3.6684
OPT-125M,3.05,3.6361
OPT-125M,3.1,3.6072
OPT-125M,3.15,3.569
OPT-125M,3.2,3.5538
OPT-125M,3.25,3.5289
OPT-125M,3.3,3.5307
OPT-125M,3.35,3.542
OPT-125M,3.4,3.4952
OPT-125M,3.45,3.4914
OPT-125M,3.5,3.4707
OPT-125M,3.55,3.4564
OPT-125M,3.6,3.4819
OPT-125M,3.65,3.4601
OPT-125M,3.7,3.4079
OPT-125M,3.75,3.3906
OPT-125M,3.8,3.3925
OPT-125M,3.85,3.3768
OPT-125M,3.9,3.3782
OPT-125M,3.95,3.3757
OPT-125M,4.0,3.3757
OPT-125M,4.05,3.3769
OPT-125M,4.1,3.3165
OPT-125M,4.15,3.3055
OPT-125M,4.2,3.2959
OPT-125M,4.25,3.3073
OPT-125M,4.3,3.2769
OPT-125M,4.35,3.2549
OPT-125M,4.4,3.2785
OPT-125M,4.45,3.296
OPT-125M,4.5,3.2636
OPT-125M,4.55,3.2586
OPT-125M,4.6,3.2166
OPT-125M,4.65,3.2099
OPT-125M,4.7,3.1881
OPT-125M,4.75,3.1933
OPT-125M,4.8,3.1988
OPT-125M,4.85,3.191
OPT-125M,4.9,3.1626
OPT-125M,4.95,3.1592
OPT-125M,5.0,3.1462
OPT-125M,5.05,3.1471
OPT-125M,5.1,3.108
OPT-125M,5.15,3.1048
OPT-125M,5.2,3.1185
OPT-125M,5.25,3.1067
OPT-125M,5.3,3.0661
OPT-125M,5.35,3.086
OPT-125M,5.4,3.065
OPT-125M,5.45,3.0284
OPT-125M,5.5,3.0227
OPT-125M,5.55,3.0355
OPT-125M,5.6,3.0126
OPT-125M,5.65,3.0403
OPT-125M,5.7,3.021
OPT-125M,5.75,3.0228
OPT-125M,5.8,3.0081
OPT-125M,5.85,2.9963
OPT-125M,5.9,2.9943
OPT-125M,5.95,2.9852
OPT-125M,6.0,2.9527
OPT-125M,6.05,2.977
OPT-125M,6.1,2.9585
