layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
0,10.049074932468914,9.821527922534035,0.060696192764664994,0.07393524018612253,-0.22754700993487909,0.09565797174049322,-0.4150366345462458,-0.040057385323512384,-0.3499892137627104,-0.10510480610704777,OLMo-3 7B
1,9.940764541104745,9.450638954141365,0.059929980647030055,0.07288656937046581,-0.49012558696338004,0.09436129807791498,-0.6750737311960934,-0.3051774427306667,-0.6109080485031112,-0.3693431254236489,OLMo-3 7B
2,9.849879551114379,9.100987849483314,0.059429074756554255,0.07220697661451117,-0.7488917016310648,0.09351824633850164,-0.932187464454528,-0.5655959388076015,-0.8685950569443469,-0.6291883463177826,OLMo-3 7B
3,9.793845363871618,8.793812472294494,0.05917541546443918,0.07187155524795094,-1.0000328915771242,0.09309806791307891,-1.1825051046867587,-0.8175606784674895,-1.1191984185058652,-0.8808673646483831,OLMo-3 7B
4,9.790087380750265,8.550350686309525,0.05911993421211843,0.07181135294433123,-1.2397366944407402,0.09301632670096428,-1.4220486947746303,-1.0574246941068501,-1.3587975926179745,-1.1206757962635059,OLMo-3 7B
5,9.856031003124125,8.391840355263021,0.05919120797727691,0.07192573362764934,-1.4641906478611038,0.09314993429780193,-1.6467645190847955,-1.281616776637412,-1.5834225637622903,-1.3449587319599172,OLMo-3 7B
6,10.009101632366995,8.339519342889599,0.05930779778423506,0.07210001148597221,-1.6695822894773968,0.09335859111133288,-1.8525651280556092,-1.4865994508991844,-1.789081286099903,-1.5500832928548907,OLMo-3 7B
7,10.266724669852684,8.414625512923877,0.05939305617290392,0.07222636979320879,-1.8520991569288068,0.09351033961580432,-2.035379422575783,-1.6688188912818303,-1.9717923916370363,-1.7324059222205772,OLMo-3 7B
8,10.646205997228964,8.63824919167994,0.05939199698650637,0.07222739583597108,-2.007956805549025,0.09351045938979893,-2.191237305953031,-1.824676305145019,-2.1276501935679675,-1.8882634175300823,OLMo-3 7B
9,11.150389609294256,9.01362867758816,0.059303177262160896,0.07210106812562757,-2.136760931706096,0.09335647196763418,-2.319739616762659,-1.9537822466495331,-2.2562572158246677,-2.0172646475875244,OLMo-3 7B
10,11.754032365230465,9.509330975255143,0.05918619426184218,0.07193179613619301,-2.2447013899753223,0.09315142986867861,-2.4272781925179325,-2.062124587432712,-2.363935220207231,-2.125467559743414,OLMo-3 7B
11,12.42866409161675,10.089939578933278,0.05910370951370425,0.07180847599247862,-2.3387245126834717,0.09300379402283927,-2.5210119489682365,-2.156437076398707,-2.457769369032706,-2.2196796563342374,OLMo-3 7B
12,13.145814615032261,10.720037982874953,0.05909384973962959,0.07178577680583283,-2.4257766321573087,0.09298000230515573,-2.608017436675414,-2.2435358276392035,-2.544791035107908,-2.306762229206709,OLMo-3 7B
13,13.877013762056164,11.364209681332559,0.05915784044697431,0.07186673454255939,-2.5128040807236047,0.09308317581690242,-2.6952471053247335,-2.330361056122476,-2.63195054576924,-2.3936576156779696,OLMo-3 7B
14,14.593791359267609,11.987038168558483,0.05926006171589989,0.07200277902398142,-2.606753190709126,0.09325317743513388,-2.7895294184819885,-2.4239769629362637,-2.7261172578260977,-2.4873891235921546,OLMo-3 7B
15,15.267677233245756,12.553106938805113,0.059340563134702075,0.07211129795200291,-2.7145702944406427,0.09338812411364789,-2.8976110177033925,-2.531529571177893,-2.834107093306112,-2.5950334955751733,OLMo-3 7B
16,15.870743471168202,13.027879388806898,0.05934056313470206,0.07211129795200294,-2.842864082361304,0.0933881241136479,-3.025904805624054,-2.6598233590985543,-2.9624008812267735,-2.7233272834958346,OLMo-3 7B
