layer,log_predic,fit,panel
0,-8.87358079791252,19.290724132103808,OLMo-3 7B
1,-8.87358079791252,17.828921817981087,OLMo-3 7B
2,-8.87358079791252,16.403829341117863,OLMo-3 7B
3,-8.87358079791252,15.052156538773627,OLMo-3 7B
4,-8.87358079791252,13.810613248207877,OLMo-3 7B
5,-8.87358079791252,12.715909306680112,OLMo-3 7B
6,-8.87358079791252,11.804754551449824,OLMo-3 7B
7,-8.87358079791252,11.113858819776507,OLMo-3 7B
8,-8.87358079791252,10.679735561018067,OLMo-3 7B
9,-8.87358079791252,10.515135288439438,OLMo-3 7B
10,-8.87358079791252,10.586657358430802,OLMo-3 7B
11,-8.87358079791252,10.855598654039282,OLMo-3 7B
12,-8.87358079791252,11.283256058311995,OLMo-3 7B
13,-8.87358079791252,11.830926454296067,OLMo-3 7B
14,-8.87358079791252,12.45990672503862,OLMo-3 7B
15,-8.87358079791252,13.13149375358677,OLMo-3 7B
16,-8.87358079791252,13.807423911127485,OLMo-3 7B
17,-8.87358079791252,14.459541796063998,OLMo-3 7B
18,-8.87358079791252,15.069800234015835,OLMo-3 7B
19,-8.87358079791252,15.62059153874235,OLMo-3 7B
20,-8.87358079791252,16.094308024002903,OLMo-3 7B
21,-8.87358079791252,16.47334200355685,OLMo-3 7B
22,-8.87358079791252,16.74008579116355,OLMo-3 7B
23,-8.87358079791252,16.876931700582368,OLMo-3 7B
24,-8.87358079791252,16.868888278928686,OLMo-3 7B
25,-8.87358079791252,16.72373499326854,OLMo-3 7B
26,-8.87358079791252,16.460975912004244,OLMo-3 7B
27,-8.87358079791252,16.100212001069828,OLMo-3 7B
28,-8.87358079791252,15.661044226399312,OLMo-3 7B
29,-8.87358079791252,15.163073553926726,OLMo-3 7B
30,-8.87358079791252,14.62590094958609,OLMo-3 7B
31,-8.87358079791252,14.069127379311428,OLMo-3 7B
0,-8.707488105346778,19.140033658886242,OLMo-3 7B
1,-8.707488105346778,17.69543576633947,OLMo-3 7B
2,-8.707488105346778,16.287234569932806,OLMo-3 7B
3,-8.707488105346778,14.951826765806326,OLMo-3 7B
4,-8.707488105346778,13.725609050100138,OLMo-3 7B
5,-8.707488105346778,12.644978118954334,OLMo-3 7B
6,-8.707488105346778,11.746330668509014,OLMo-3 7B
7,-8.707488105346778,11.066063394904269,OLMo-3 7B
8,-8.707488105346778,10.640378093657402,OLMo-3 7B
9,-8.707488105346778,10.481893584926965,OLMo-3 7B
10,-8.707488105346778,10.557427042513623,OLMo-3 7B
11,-8.707488105346778,10.828533323402459,OLMo-3 7B
12,-8.707488105346778,11.256767284578551,OLMo-3 7B
13,-8.707488105346778,11.803683783026978,OLMo-3 7B
14,-8.707488105346778,12.43083767573282,OLMo-3 7B
15,-8.707488105346778,13.099783819681157,OLMo-3 7B
16,-8.707488105346778,13.7725155711802,OLMo-3 7B
17,-8.707488105346778,14.421111770970155,OLMo-3 7B
18,-8.707488105346778,15.027736744223224,OLMo-3 7B
19,-8.707488105346778,15.574993315434742,OLMo-3 7B
20,-8.707488105346778,16.045484309100047,OLMo-3 7B
21,-8.707488105346778,16.42181254971446,OLMo-3 7B
22,-8.707488105346778,16.686580861773326,OLMo-3 7B
23,-8.707488105346778,16.822392069771976,OLMo-3 7B
24,-8.707488105346778,16.81443950743197,OLMo-3 7B
25,-8.707488105346778,16.670463533221692,OLMo-3 7B
26,-8.707488105346778,16.40981382473447,OLMo-3 7B
27,-8.707488105346778,16.051936004349795,OLMo-3 7B
28,-8.707488105346778,15.616275694447161,OLMo-3 7B
29,-8.707488105346778,15.122278517406055,OLMo-3 7B
30,-8.707488105346778,14.58939009560597,OLMo-3 7B
31,-8.707488105346778,14.037056051426392,OLMo-3 7B
0,-8.541395412781034,18.99155597218702,OLMo-3 7B
1,-8.541395412781034,17.56354588428571,OLMo-3 7B
2,-8.541395412781034,16.17163949593202,OLMo-3 7B
3,-8.541395412781034,14.851940506673559,OLMo-3 7B
4,-8.541395412781034,13.640552616057949,OLMo-3 7B
5,-8.541395412781034,12.573579523632803,OLMo-3 7B
6,-8.541395412781034,11.687124928945739,OLMo-3 7B
7,-8.541395412781034,11.01729253154437,OLMo-3 7B
8,-8.541395412781034,10.599992461303225,OLMo-3 7B
9,-8.541395412781034,10.447712917652662,OLMo-3 7B
10,-8.541395412781034,10.527453226846363,OLMo-3 7B
11,-8.541395412781034,10.800986333964522,OLMo-3 7B
12,-8.541395412781034,11.23008518408733,OLMo-3 7B
13,-8.541395412781034,11.776522722294978,OLMo-3 7B
14,-8.541395412781034,12.402071893667658,OLMo-3 7B
15,-8.541395412781034,13.068505643285562,OLMo-3 7B
16,-8.541395412781034,13.738035649779327,OLMo-3 7B
17,-8.541395412781034,14.38296446343982,OLMo-3 7B
18,-8.541395412781034,14.985685506218136,OLMo-3 7B
19,-8.541395412781034,15.529030933615816,OLMo-3 7B
20,-8.541395412781034,15.995832901134406,OLMo-3 7B
21,-8.541395412781034,16.368923564275445,OLMo-3 7B
22,-8.541395412781034,16.631135078540474,OLMo-3 7B
23,-8.541395412781034,16.76529959943104,OLMo-3 7B
24,-8.541395412781034,16.75681280900588,OLMo-3 7B
25,-8.541395412781034,16.61338256491421,OLMo-3 7B
26,-8.541395412781034,16.354205121598646,OLMo-3 7B
27,-8.541395412781034,15.998571678929824,OLMo-3 7B
28,-8.541395412781034,15.565773436778404,OLMo-3 7B
29,-8.541395412781034,15.075101595015031,OLMo-3 7B
30,-8.541395412781034,14.545847353510359,OLMo-3 7B
31,-8.541395412781034,13.997301912135036,OLMo-3 7B
0,-8.375302720215291,18.84545293672746,OLMo-3 7B
1,-8.375302720215291,17.43336893118333,OLMo-3 7B
2,-8.375302720215291,16.057117246687824,OLMo-3 7B
3,-8.375302720215291,14.752530204289561,OLMo-3 7B
4,-8.375302720215291,13.555440125037169,OLMo-3 7B
5,-8.375302720215291,12.50167932997927,OLMo-3 7B
6,-8.375302720215291,11.627080140164486,OLMo-3 7B
7,-8.375302720215291,10.96747487664144,OLMo-3 7B
8,-8.375302720215291,10.558503453970854,OLMo-3 7B
9,-8.375302720215291,10.412524601677257,OLMo-3 7B
10,-8.375302720215291,10.496681524628105,OLMo-3 7B
11,-8.375302720215291,10.772922452517493,OLMo-3 7B
12,-8.375302720215291,11.203195615039517,OLMo-3 7B
13,-8.375302720215291,11.749449241888268,OLMo-3 7B
14,-8.375302720215291,12.373631562757843,OLMo-3 7B
15,-8.375302720215291,13.037690807342333,OLMo-3 7B
16,-8.375302720215291,13.704015485622948,OLMo-3 7B
17,-8.375302720215291,14.345120554184504,OLMo-3 7B
18,-8.375302720215291,14.94364741621543,OLMo-3 7B
19,-8.375302720215291,15.482677755191265,OLMo-3 7B
20,-8.375302720215291,15.94529325458755,OLMo-3 7B
21,-8.375302720215291,16.314575597879827,OLMo-3 7B
22,-8.375302720215291,16.573606468543638,OLMo-3 7B
23,-8.375302720215291,16.70546755005452,OLMo-3 7B
24,-8.375302720215291,16.695775719175174,OLMo-3 7B
25,-8.375302720215291,16.552213423871308,OLMo-3 7B
26,-8.375302720215291,16.293824533876986,OLMo-3 7B
27,-8.375302720215291,15.939746814973955,OLMo-3 7B
28,-8.375302720215291,15.509118032943958,OLMo-3 7B
29,-8.375302720215291,15.021075953568733,OLMo-3 7B
30,-8.375302720215291,14.494758342630027,OLMo-3 7B
31,-8.375302720215291,13.949302965909576,OLMo-3 7B
0,-8.209210027649549,18.70188641722889,OLMo-3 7B
1,-8.209210027649549,17.305021666395866,OLMo-3 7B
2,-8.209210027649549,15.943740949772529,OLMo-3 7B
3,-8.209210027649549,14.653628301568563,OLMo-3 7B
4,-8.209210027649549,13.470267755993651,OLMo-3 7B
5,-8.209210027649549,12.429243347257481,OLMo-3 7B
6,-8.209210027649549,11.566139109569736,OLMo-3 7B
7,-8.209210027649549,10.916539077140104,OLMo-3 7B
8,-8.209210027649549,10.515835861675608,OLMo-3 7B
9,-8.209210027649549,10.376259952061474,OLMo-3 7B
10,-8.209210027649549,10.465057549057926,OLMo-3 7B
11,-8.209210027649549,10.744306445853391,OLMo-3 7B
12,-8.209210027649549,11.176084435636291,OLMo-3 7B
13,-8.209210027649549,11.722469311595047,OLMo-3 7B
14,-8.209210027649549,12.345538866918082,OLMo-3 7B
15,-8.209210027649549,13.00737089479382,OLMo-3 7B
16,-8.209210027649549,13.67048641740915,OLMo-3 7B
17,-8.209210027649549,14.307600723915728,OLMo-3 7B
18,-8.209210027649549,14.901623370429977,OLMo-3 7B
19,-8.209210027649549,15.435907142066783,OLMo-3 7B
20,-8.209210027649549,15.89380482394104,OLMo-3 7B
21,-8.209210027649549,16.25866920116763,OLMo-3 7B
22,-8.209210027649549,16.51385305886145,OLMo-3 7B
23,-8.209210027649549,16.642709182137388,OLMo-3 7B
24,-8.209210027649549,16.631095773464615,OLMo-3 7B
25,-8.209210027649549,16.48667744561817,OLMo-3 7B
26,-8.209210027649549,16.228346792849706,OLMo-3 7B
27,-8.209210027649549,15.875089202646228,OLMo-3 7B
28,-8.209210027649549,15.445890062494739,OLMo-3 7B
29,-8.209210027649549,14.95973475988224,OLMo-3 7B
30,-8.209210027649549,14.435608682295737,OLMo-3 7B
31,-8.209210027649549,13.892497217222228,OLMo-3 7B
0,-8.043117335083805,18.56101827841263,OLMo-3 7B
1,-8.043117335083805,17.178620849286858,OLMo-3 7B
2,-8.043117335083805,15.831583732758455,OLMo-3 7B
3,-8.043117335083805,14.555267241424795,OLMo-3 7B
4,-8.043117335083805,13.385031687883247,OLMo-3 7B
5,-8.043117335083805,12.356237384731184,OLMo-3 7B
6,-8.043117335083805,11.504244644565974,OLMo-3 7B
7,-8.043117335083805,10.864413779984988,OLMo-3 7B
8,-8.043117335083805,10.471914474432806,OLMo-3 7B
9,-8.043117335083805,10.338850283866037,OLMo-3 7B
10,-8.043117335083805,10.432526913334911,OLMo-3 7B
11,-8.043117335083805,10.715103080764239,OLMo-3 7B
12,-8.043117335083805,11.148737504078834,OLMo-3 7B
13,-8.043117335083805,11.695588901203513,OLMo-3 7B
14,-8.043117335083805,12.317815990063085,OLMo-3 7B
15,-8.043117335083805,12.97757748858237,OLMo-3 7B
16,-8.043117335083805,13.637479783836014,OLMo-3 7B
17,-8.043117335083805,14.270425653345004,OLMo-3 7B
18,-8.043117335083805,14.85961426507664,OLMo-3 7B
19,-8.043117335083805,15.388692456148068,OLMo-3 7B
20,-8.043117335083805,15.841307063676432,OLMo-3 7B
21,-8.043117335083805,16.20110492477888,OLMo-3 7B
22,-8.043117335083805,16.45173287657255,OLMo-3 7B
23,-8.043117335083805,16.576837756174594,OLMo-3 7B
24,-8.043117335083805,16.562540507398964,OLMo-3 7B
25,-8.043117335083805,16.416495965680003,OLMo-3 7B
26,-8.043117335083805,16.157446629797022,OLMo-3 7B
27,-8.043117335083805,15.80422663211068,OLMo-3 7B
28,-8.043117335083805,15.375670104981658,OLMo-3 7B
29,-8.043117335083805,14.890611180770627,OLMo-3 7B
30,-8.043117335083805,14.367883991838251,OLMo-3 7B
31,-8.043117335083805,13.826322670545206,OLMo-3 7B
0,-7.877024642518062,18.423010384999998,OLMo-3 7B
1,-7.877024642518062,17.05428323921983,OLMo-3 7B
2,-7.877024642518062,15.720718723217914,OLMo-3 7B
3,-7.877024642518062,14.457479466772492,OLMo-3 7B
4,-7.877024642518062,13.299728099661815,OLMo-3 7B
5,-7.877024642518062,12.282627251664127,OLMo-3 7B
6,-7.877024642518062,11.441339552557682,OLMo-3 7B
7,-7.877024642518062,10.811027632120723,OLMo-3 7B
8,-7.877024642518062,10.426664082257767,OLMo-3 7B
9,-7.877024642518062,10.300226912151677,OLMo-3 7B
10,-7.877024642518062,10.39903523065814,OLMo-3 7B
11,-7.877024642518062,10.685277124042054,OLMo-3 7B
12,-7.877024642518062,11.121140678568327,OLMo-3 7B
13,-7.877024642518062,11.668813980501863,OLMo-3 7B
14,-7.877024642518062,12.290485116107561,OLMo-3 7B
15,-7.877024642518062,12.948342171650328,OLMo-3 7B
16,-7.877024642518062,13.605026923601628,OLMo-3 7B
17,-7.877024642518062,14.233616023183846,OLMo-3 7B
