layer,log_predic,fit,panel
0,-8.87358079791252,10.12802326041139,OLMo-3 7B
1,-8.87358079791252,10.140579792559503,OLMo-3 7B
2,-8.87358079791252,10.16824943239342,OLMo-3 7B
3,-8.87358079791252,10.226145287598946,OLMo-3 7B
4,-8.87358079791252,10.32938046586189,OLMo-3 7B
5,-8.87358079791252,10.49306807486805,OLMo-3 7B
6,-8.87358079791252,10.732321222303236,OLMo-3 7B
7,-8.87358079791252,11.062253015853251,OLMo-3 7B
8,-8.87358079791252,11.497871617003717,OLMo-3 7B
9,-8.87358079791252,12.041486697018357,OLMo-3 7B
10,-8.87358079791252,12.670745570118344,OLMo-3 7B
11,-8.87358079791252,13.360462003119967,OLMo-3 7B
12,-8.87358079791252,14.085449762839515,OLMo-3 7B
13,-8.87358079791252,14.820522616093276,OLMo-3 7B
14,-8.87358079791252,15.540494329697541,OLMo-3 7B
15,-8.87358079791252,16.22017867046859,OLMo-3 7B
16,-8.87358079791252,16.83482610586168,OLMo-3 7B
17,-8.87358079791252,17.36973121802803,OLMo-3 7B
18,-8.87358079791252,17.820232703814845,OLMo-3 7B
19,-8.87358079791252,18.182105960708302,OLMo-3 7B
20,-8.87358079791252,18.451126386194556,OLMo-3 7B
21,-8.87358079791252,18.623069377759776,OLMo-3 7B
22,-8.87358079791252,18.693710332890127,OLMo-3 7B
23,-8.87358079791252,18.658824649071775,OLMo-3 7B
24,-8.87358079791252,18.515490075155963,OLMo-3 7B
25,-8.87358079791252,18.2721196403937,OLMo-3 7B
26,-8.87358079791252,17.94296283756099,OLMo-3 7B
27,-8.87358079791252,17.54231739466957,OLMo-3 7B
28,-8.87358079791252,17.084481039731187,OLMo-3 7B
29,-8.87358079791252,16.583751500757575,OLMo-3 7B
30,-8.87358079791252,16.054426505760482,OLMo-3 7B
31,-8.87358079791252,15.510803782751646,OLMo-3 7B
0,-8.707488105346778,10.11215354269647,OLMo-3 7B
1,-8.707488105346778,10.120964703796556,OLMo-3 7B
2,-8.707488105346778,10.144694772593855,OLMo-3 7B
3,-8.707488105346778,10.198262656785584,OLMo-3 7B
4,-8.707488105346778,10.296587264068958,OLMo-3 7B
5,-8.707488105346778,10.454587502141191,OLMo-3 7B
6,-8.707488105346778,10.687182278699499,OLMo-3 7B
7,-8.707488105346778,11.009290501441095,OLMo-3 7B
8,-8.707488105346778,11.435728264754513,OLMo-3 7B
9,-8.707488105346778,11.968871252677586,OLMo-3 7B
10,-8.707488105346778,12.586934021707545,OLMo-3 7B
11,-8.707488105346778,13.265355169007167,OLMo-3 7B
12,-8.707488105346778,13.979573291739227,OLMo-3 7B
13,-8.707488105346778,14.7050269870665,OLMo-3 7B
14,-8.707488105346778,15.417154852151764,OLMo-3 7B
15,-8.707488105346778,16.091395484157797,OLMo-3 7B
16,-8.707488105346778,16.70359947934707,OLMo-3 7B
17,-8.707488105346778,17.239093413275086,OLMo-3 7B
18,-8.707488105346778,17.69267984079039,OLMo-3 7B
19,-8.707488105346778,18.05957331584122,OLMo-3 7B
20,-8.707488105346778,18.33498839237581,OLMo-3 7B
21,-8.707488105346778,18.514139624342395,OLMo-3 7B
22,-8.707488105346778,18.59224156568921,OLMo-3 7B
23,-8.707488105346778,18.564508770364498,OLMo-3 7B
24,-8.707488105346778,18.427506733607053,OLMo-3 7B
25,-8.707488105346778,18.189559143369813,OLMo-3 7B
26,-8.707488105346778,17.865043905981942,OLMo-3 7B
27,-8.707488105346778,17.468388962635213,OLMo-3 7B
28,-8.707488105346778,17.014022254521393,OLMo-3 7B
29,-8.707488105346778,16.516371722832258,OLMo-3 7B
30,-8.707488105346778,15.989865308759578,OLMo-3 7B
31,-8.707488105346778,15.448930953495125,OLMo-3 7B
