Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,10.26528981925111,0.04228775213565836,10.181019190539681,10.347837949561594,100
OLMo-3 7B,c_log_freq,-0.5409233679740871,0.04734822523603862,-0.6328226826231425,-0.4463587720897299,0
OLMo-3 7B,c_log_ftp,-1.5622861116238493,0.04234632577333859,-1.6447415348767653,-1.4783315924439167,0
OLMo-3 7B,c_log_freq:c_log_ftp,5.438234090239614e-4,0.04221531880272391,-0.08254650661272923,0.08115082947593652,50.7
BabyLM 125M,Intercept,8.46838110852826,0.038460738458924275,8.392489150986842,8.542227322265871,100
BabyLM 125M,c_log_freq,-0.34598953894901696,0.039880941621411516,-0.42442241194366015,-0.26817760568417126,0
BabyLM 125M,c_log_ftp,-0.22169828717058415,0.039540880108127625,-0.30006530686486926,-0.14551048614115789,0
BabyLM 125M,c_log_freq:c_log_ftp,-0.049564315731838886,0.040968613940295606,-0.1292906324313452,0.0303816334134522,11.3
BabyLM 350M,Intercept,8.798194276625095,0.03627610035507304,8.728498766424881,8.870524643595255,100
BabyLM 350M,c_log_freq,-0.43197553259737415,0.0375599266109773,-0.5040956844026252,-0.3569912850179835,0
BabyLM 350M,c_log_ftp,0.06265845621452196,0.03774676763735808,-0.01135806258758654,0.13664752530781596,95.2
BabyLM 350M,c_log_freq:c_log_ftp,-0.07764511524998094,0.038716103930429506,-0.15243328087641284,-0.001558488994442819,2.2
BabyLM 1.3B,Intercept,8.382834964342122,0.04280004252956241,8.298403003478597,8.464738927119363,100
BabyLM 1.3B,c_log_freq,-0.2190339112213226,0.04400581156611522,-0.30493505322606074,-0.1316822231432454,0
BabyLM 1.3B,c_log_ftp,-0.10887688149611838,0.04392776414259714,-0.19484620269876243,-0.0214302173743764,0.7
BabyLM 1.3B,c_log_freq:c_log_ftp,-0.07428601463682226,0.046640394010016885,-0.16684197475705678,0.016882235308873783,5.5
