component,verb_up,frequency,predic,log_freq,log_predic
encoder,act up,266394,0.0014913729688361,12.492731694872212,-6.50656564153722
encoder,acted up,64734,0.00376269963439607,11.078041844779396,-5.578848794942774
encoder,acting up,586506,0.01075114601644694,13.281938177202367,-4.521933566722116
encoder,acts up,116385,0.00219807453316908,11.66465893999616,-6.117973020190686
encoder,add up,7598054,0.01706133852740439,15.843402719837908,-4.053731719910233
encoder,added up,982400,0.00358715852603261,13.797753836375016,-5.626801279001013
encoder,adding up,1038874,0.00931665039911353,13.853647992275151,-4.666591792274944
encoder,adds up,2470859,0.04451388558478685,14.720076421424402,-3.066419055191499
encoder,advanced up,37823,3.9390840127375e-4,10.540672662176004,-7.838998173768162
encoder,advancing up,25937,0.00239130033928308,10.163425799678814,-6.033523821915822
encoder,age up,100133,3.4062335969576e-4,11.514254581303659,-7.984392526745432
encoder,allows up,307085,0.00151723725495754,12.634879861211259,-6.489345803952525
encoder,amp up,421546,0.03203062568703514,12.951684184514438,-3.4085079508330254
encoder,amped up,395565,0.5445695853828776,12.88807040161145,0.17875279305574032
encoder,amping up,105205,0.6995664490045616,11.563666106673413,0.8452341832088923
encoder,ante up,70828,0.01156734900655664,11.168009681726108,-4.447934119292814
encoder,arise up,10868,4.4605302991001e-4,9.293577970546238,-7.714626559327716
encoder,ascended up,30994,0.01586809118034351,10.34154891634728,-4.127449692933367
encoder,ate up,245605,0.01147305731600388,12.411479833354086,-4.456214453834747
encoder,back up,23878851,0.01720315631669484,16.988503729753194,-4.045309555317738
encoder,backed up,5305406,0.2187980800855165,15.484236858675816,-1.2726843608842726
encoder,backing up,2175570,0.11890331981816002,14.592801257136365,-2.0028566346530616
encoder,backs up,967373,0.0646636809848512,13.782339429120048,-2.671706465101797
encoder,ball up,749557,0.00486903060100802,13.527237644333548,-5.319979493987241
encoder,bang up,144201,0.01185344801012649,11.8789634386217,-4.4232122221454375
encoder,banged up,511120,0.2967568204659556,13.144359675276226,-0.8627897317246761
encoder,banked up,19713,0.01867672207563347,9.889033595565978,-3.961624004794966
encoder,barking up,166068,0.04573443524714159,12.02015262201393,-3.038090481813854
encoder,based up,89467,1.9015540230112e-4,11.401625121187028,-8.567478739775188
encoder,beads up,26597,0.00269750663448496,10.18855370645454,-5.9127262498794355
encoder,beamed up,33373,0.0252957985613692,10.415502468813338,-3.651495724652828
encoder,bear up,96033,0.00160750376658522,11.472447161381478,-6.4314639615358455
encoder,bearing up,33052,0.0015509496000035601,10.405837357821074,-6.467335736910472
encoder,beat up,1969115,0.02429121953921421,14.493094761197609,-3.6930492119991234
encoder,beaten up,937242,0.05681238604844402,13.750696798952234,-2.809510851006416
encoder,beating up,568880,0.02618988745686792,13.2514247945574,-3.6158429669840113
encoder,beef up,764319,0.02523801668131005,13.54674052027041,-3.653841865332088
encoder,beefed up,478402,0.7460774176846433,13.078206662211826,1.0777999453510914
encoder,beefing up,299064,0.7972000010662601,12.608412876290814,1.3688853232168108
encoder,bent up,98862,0.00709963051931963,11.501480217285486,-4.940587583001511
encoder,bid up,146925,0.0040338699563241,11.897677531480852,-5.508987048919017
encoder,bidding up,49939,0.00604329818210949,10.818557539604447,-5.102743726615792
encoder,bind up,104187,0.00405049584721831,11.553942640441443,-5.504857252621331
encoder,binding up,37444,9.4293918505617e-4,10.530601762491635,-6.965565384305221
encoder,blaze up,14154,0.00368669596088778,9.55775254863573,-5.599331117022749
encoder,blazed up,15980,0.01896029254378783,9.679093219320265,-3.946266009023595
encoder,blazing up,10511,0.00317686375150403,9.260177606823355,-5.748678889815621
encoder,bless up,4100,1.1543305936939e-4,8.318742252692399,-9.06670432885664
encoder,blew up,1719775,0.16305084144767512,14.357704026279256,-1.6357012632795769
encoder,block up,162845,9.668021416634e-4,12.000554107132016,-6.940549424132786
encoder,blocked up,121430,0.0046195834119559,11.707093244047865,-5.372820461863248
encoder,blocking up,55123,0.00280637499163148,10.917322330911832,-5.873051346772965
encoder,blow up,2964789,0.04008764851806847,14.902316424306674,-3.175773709894311
encoder,blowed up,15143,0.2365613234811679,9.625293657956655,-1.171625332307545
encoder,blowing up,1411306,0.11639104354398624,14.16002607479248,-2.0270590209802535
encoder,blown up,1480824,0.10116712643629476,14.208109247565515,-2.1843232480946315
encoder,blows up,673807,0.08197804719321787,13.420698998740043,-2.4157698098017013
encoder,board up,173798,8.6196209548987e-4,12.065648984267355,-7.055436927218554
encoder,boarded up,401848,0.12096473657942472,12.903829186647018,-1.983325944643637
encoder,bob up,46431,0.00568925430468039,10.745722618580869,-5.163470593333566
encoder,bobbed up,43780,0.12868106319127862,10.686932371076853,-1.9126711183466698
encoder,bobbing up,102889,0.11750510785015757,11.541406016205121,-2.0162711971539666
encoder,boil up,61987,0.00434745193252153,11.034679964622491,-5.433808438565503
